Run,Alias,Assay Type,AvgSpotLen,BindingKit,BioProject,BioSample,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA_checklist,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Experiment,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,InstCtrlVer,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,sample_acc,Sample Name,sample_name,SequencingKit,SRA_accession,title,collected_by,collection_date,Country,pmid,serovar,specific_host,strain,SUBJECT_ID
ERR964407,N0155-sc-2282847,WGS,8934,100356300,PRJEB8783,SAMEA3358984,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041371,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767762,SINGLE,RANDOM,GENOMIC,1392,4969,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712538,SAMEA3358984,ERS712538,100356200,ERS712538,Mycobacterium tuberculosis,,,,,,,,
ERR964408,N0004-sc-2282848,WGS,5591,100356300,PRJEB8783,SAMEA3358985,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041372,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767764,SINGLE,RANDOM,GENOMIC,871,3202,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712539,SAMEA3358985,ERS712539,100356200,ERS712539,Mycobacterium tuberculosis,,,,,,,,
ERR964409,N1274-sc-2282849,WGS,9144,100356300,PRJEB8783,SAMEA3358986,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041373,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:43Z,public,2.3.0.0.140640,PacBio RS,13767750,SINGLE,RANDOM,GENOMIC,1425,5038,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712540,SAMEA3358986,ERS712540,100356200,ERS712540,Mycobacterium tuberculosis,,,,,,,,
ERR964410,N0054-sc-2282850,WGS,4945,100356300,PRJEB8783,SAMEA3358987,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041374,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767753,SINGLE,RANDOM,GENOMIC,771,2862,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712541,SAMEA3358987,ERS712541,100356200,ERS712541,Mycobacterium tuberculosis,,,,,,,,
ERR964411,N1216-sc-2282851,WGS,6141,100356300,PRJEB8783,SAMEA3358988,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041375,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767755,SINGLE,RANDOM,GENOMIC,957,3528,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712542,SAMEA3358988,ERS712542,100356200,ERS712542,Mycobacterium tuberculosis,,,,,,,,
ERR964412,N0136-sc-2282852,WGS,10899,100356300,PRJEB8783,SAMEA3358989,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041376,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:44Z,public,2.3.0.0.140640,PacBio RS,13767757,SINGLE,RANDOM,GENOMIC,1699,6088,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712543,SAMEA3358989,ERS712543,100356200,ERS712543,Mycobacterium tuberculosis,,,,,,,,
ERR964413,N1283-sc-2282853,WGS,9195,100356300,PRJEB8783,SAMEA3358990,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041377,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767759,SINGLE,RANDOM,GENOMIC,1433,5079,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712544,SAMEA3358990,ERS712544,100356200,ERS712544,Mycobacterium tuberculosis,,,,,,,,
ERR964414,N0155-sc-2282847,WGS,11604,100356300,PRJEB8783,SAMEA3358984,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041378,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767762,SINGLE,RANDOM,GENOMIC,1809,6356,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712538,SAMEA3358984,ERS712538,100356200,ERS712538,Mycobacterium tuberculosis,,,,,,,,
ERR964415,N0004-sc-2282848,WGS,7394,100356300,PRJEB8783,SAMEA3358985,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041379,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767764,SINGLE,RANDOM,GENOMIC,1152,4094,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712539,SAMEA3358985,ERS712539,100356200,ERS712539,Mycobacterium tuberculosis,,,,,,,,
ERR964416,N1274-sc-2282849,WGS,15161,100356300,PRJEB8783,SAMEA3358986,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041380,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:43Z,public,2.3.0.0.140640,PacBio RS,13767750,SINGLE,RANDOM,GENOMIC,2363,8210,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712540,SAMEA3358986,ERS712540,100356200,ERS712540,Mycobacterium tuberculosis,,,,,,,,
ERR964417,N0054-sc-2282850,WGS,7164,100356300,PRJEB8783,SAMEA3358987,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041381,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767753,SINGLE,RANDOM,GENOMIC,1117,3964,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712541,SAMEA3358987,ERS712541,100356200,ERS712541,Mycobacterium tuberculosis,,,,,,,,
ERR964418,N1216-sc-2282851,WGS,6763,100356300,PRJEB8783,SAMEA3358988,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041382,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767755,SINGLE,RANDOM,GENOMIC,1054,3779,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712542,SAMEA3358988,ERS712542,100356200,ERS712542,Mycobacterium tuberculosis,,,,,,,,
ERR964419,N0136-sc-2282852,WGS,13678,100356300,PRJEB8783,SAMEA3358989,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041383,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:44Z,public,2.3.0.0.140640,PacBio RS,13767757,SINGLE,RANDOM,GENOMIC,2132,7500,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712543,SAMEA3358989,ERS712543,100356200,ERS712543,Mycobacterium tuberculosis,,,,,,,,
ERR964420,N1063-sc-2282854,WGS,16758,100356300,PRJEB8783,SAMEA3358991,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041384,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767761,SINGLE,RANDOM,GENOMIC,2612,9065,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712545,SAMEA3358991,ERS712545,100356200,ERS712545,Mycobacterium tuberculosis,,,,,,,,
ERR964421,N1272-sc-2282855,WGS,17559,100356300,PRJEB8783,SAMEA3358992,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041385,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:44Z,public,2.3.0.0.140640,PacBio RS,13767763,SINGLE,RANDOM,GENOMIC,2737,9506,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712546,SAMEA3358992,ERS712546,100356200,ERS712546,Mycobacterium tuberculosis,,,,,,,,
ERR964422,N0091-sc-2282856,WGS,24844,100356300,PRJEB8783,SAMEA3358993,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-16,2018-11-16,ERX1041386,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767765,SINGLE,RANDOM,GENOMIC,3873,13196,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-17T00:00:00Z,ERS712547,SAMEA3358993,ERS712547,100356200,ERS712547,Mycobacterium tuberculosis,,,,,,,,
ERR1036243,N1176-sc-2308781,WGS,3465,100356300,PRJEB8783,SAMEA3443999,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-09-28,2018-11-16,ERX1114977,SC,Wellcome Sanger Institute,2015-09-22T09:40:07Z,2018-03-09T13:25:27Z,public,2.3.0.0.140640,PacBio RS,14198957,SINGLE,RANDOM,GENOMIC,540,2010,Mycobacterium tuberculosis,PACBIO_SMRT,2015-09-29T00:00:00Z,ERS743205,SAMEA3443999,ERS743205,100356200,ERS743205,Mycobacterium tuberculosis,,,,,,,,
ERR1036244,N1176-sc-2308781,WGS,4569,100356300,PRJEB8783,SAMEA3443999,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra,unknown_contigs","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-09-28,2018-11-16,ERX1114978,SC,Wellcome Sanger Institute,2015-09-22T09:40:07Z,2018-03-09T13:25:27Z,public,2.3.0.0.140640,PacBio RS,14198957,SINGLE,RANDOM,GENOMIC,712,2554,Mycobacterium tuberculosis,PACBIO_SMRT,2015-09-29T00:00:00Z,ERS743205,SAMEA3443999,ERS743205,100356200,ERS743205,Mycobacterium tuberculosis,,,,,,,,
ERR968284,N1202-sc-2282857,WGS,20808,100356300,PRJEB8783,SAMEA3358994,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-21,2018-11-16,ERX1045262,SC,Wellcome Sanger Institute,2015-07-21T10:01:41Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767751,SINGLE,RANDOM,GENOMIC,3244,11160,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-23T00:00:00Z,ERS712548,SAMEA3358994,ERS712548,100356200,ERS712548,Mycobacterium tuberculosis,,,,,,,,
ERR968285,N1283-sc-2282853,WGS,11879,100356300,PRJEB8783,SAMEA3358990,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-21,2018-11-16,ERX1045263,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767759,SINGLE,RANDOM,GENOMIC,1852,6549,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-23T00:00:00Z,ERS712544,SAMEA3358990,ERS712544,100356200,ERS712544,Mycobacterium tuberculosis,,,,,,,,
ERR968286,N1063-sc-2282854,WGS,14461,100356300,PRJEB8783,SAMEA3358991,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-21,2018-11-16,ERX1045264,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767761,SINGLE,RANDOM,GENOMIC,2254,7859,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-23T00:00:00Z,ERS712545,SAMEA3358991,ERS712545,100356200,ERS712545,Mycobacterium tuberculosis,,,,,,,,
ERR968287,N1272-sc-2282855,WGS,15101,100356300,PRJEB8783,SAMEA3358992,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-21,2018-11-16,ERX1045265,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:44Z,public,2.3.0.0.140640,PacBio RS,13767763,SINGLE,RANDOM,GENOMIC,2354,8253,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-23T00:00:00Z,ERS712546,SAMEA3358992,ERS712546,100356200,ERS712546,Mycobacterium tuberculosis,,,,,,,,
ERR968288,N0091-sc-2282856,WGS,21385,100356300,PRJEB8783,SAMEA3358993,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-21,2018-11-16,ERX1045266,SC,Wellcome Sanger Institute,2015-07-14T09:21:02Z,2018-03-09T13:23:18Z,public,2.3.0.0.140640,PacBio RS,13767765,SINGLE,RANDOM,GENOMIC,3334,11325,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-23T00:00:00Z,ERS712547,SAMEA3358993,ERS712547,100356200,ERS712547,Mycobacterium tuberculosis,,,,,,,,
ERR968289,N1202-sc-2282857,WGS,16735,100356300,PRJEB8783,SAMEA3358994,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-07-21,2018-11-16,ERX1045267,SC,Wellcome Sanger Institute,2015-07-21T10:01:41Z,2018-03-09T13:23:30Z,public,2.3.0.0.140640,PacBio RS,13767751,SINGLE,RANDOM,GENOMIC,2609,9120,Mycobacterium tuberculosis,PACBIO_SMRT,2015-07-23T00:00:00Z,ERS712548,SAMEA3358994,ERS712548,100356200,ERS712548,Mycobacterium tuberculosis,,,,,,,,
ERR987691,N1177-sc-2308782,WGS,11948,100372700,PRJEB8783,SAMEA3444000,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-08-24,2018-11-16,ERX1068949,SC,Wellcome Sanger Institute,2015-08-24T11:40:14Z,2018-03-09T13:25:28Z,public,2.3.0.0.140640,PacBio RS,14198958,SINGLE,RANDOM,GENOMIC,1862,6567,Mycobacterium tuberculosis,PACBIO_SMRT,2015-08-25T00:00:00Z,ERS743206,SAMEA3444000,ERS743206,100356200,ERS743206,Mycobacterium tuberculosis,,,,,,,,
ERR999930,N1177-sc-2308782,WGS,10109,100356300,PRJEB8783,SAMEA3444000,THE WELLCOME TRUST SANGER INSTITUTE,public,"pacbio_native,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",ERC000011,2015-09-04,2018-11-16,ERX1078966,SC,Wellcome Sanger Institute,2015-08-24T11:40:14Z,2018-03-09T13:25:28Z,public,2.3.0.0.140640,PacBio RS,14198958,SINGLE,RANDOM,GENOMIC,1576,5553,Mycobacterium tuberculosis,PACBIO_SMRT,2015-09-05T00:00:00Z,ERS743206,SAMEA3444000,ERS743206,100356200,ERS743206,Mycobacterium tuberculosis,,,,,,,,
