Chrom	Start	End	H37rv_GeneID	IntergenicRegion_IsNextTo_PLC_Gene	Intergenic_GeneToTheLeft	Intergenic_GeneToTheLeft_FuncCategory	Intergenic_GeneToTheRight	Intergenic_GeneToTheRight_FuncCategory
NC_000962.3	89919	89923	IntergenicRegion_71_Rv0081-Rv0082	False	Rv0081	NotExcluded	Rv0082	NotExcluded
NC_000962.3	92322	92327	IntergenicRegion_72_Rv0083-Rv0084	False	Rv0083	NotExcluded	Rv0084	NotExcluded
NC_000962.3	93278	93288	IntergenicRegion_73_Rv0084-Rv0085	False	Rv0084	NotExcluded	Rv0085	NotExcluded
NC_000962.3	96892	96926	IntergenicRegion_74_Rv0087-Rv0088	False	Rv0087	NotExcluded	Rv0088	NotExcluded
NC_000962.3	97601	97757	IntergenicRegion_75_Rv0088-Rv0089	False	Rv0088	NotExcluded	Rv0089	NotExcluded
NC_000962.3	98351	98479	IntergenicRegion_76_Rv0089-Rv0090	False	Rv0089	NotExcluded	Rv0090	NotExcluded
NC_000962.3	99250	99683	IntergenicRegion_77_Rv0090-Rv0091	False	Rv0090	NotExcluded	Rv0091	NotExcluded
NC_000962.3	100451	100582	IntergenicRegion_78_Rv0091-Rv0092	False	Rv0091	NotExcluded	Rv0092	NotExcluded
NC_000962.3	103663	103709	IntergenicRegion_79_Rv0093c-Rv0094c	True	Rv0093c	NotExcluded	Rv0094c	InsertionSeqs_And_Phages
NC_000962.3	104663	104804	IntergenicRegion_80_Rv0094c-Rv0095c	True	Rv0094c	InsertionSeqs_And_Phages	Rv0095c	InsertionSeqs_And_Phages
NC_000962.3	105215	105323	IntergenicRegion_81_Rv0095c-Rv0096	True	Rv0095c	InsertionSeqs_And_Phages	Rv0096	PE/PPEs
NC_000962.3	106715	106733	IntergenicRegion_82_Rv0096-Rv0097	True	Rv0096	PE/PPEs	Rv0097	NotExcluded
NC_000962.3	108151	108155	IntergenicRegion_83_Rv0098-Rv0099	False	Rv0098	NotExcluded	Rv0099	NotExcluded
NC_000962.3	109778	109782	IntergenicRegion_84_Rv0099-Rv0100	False	Rv0099	NotExcluded	Rv0100	NotExcluded
NC_000962.3	117539	117713	IntergenicRegion_85_Rv0101-Rv0102	False	Rv0101	NotExcluded	Rv0102	NotExcluded
NC_000962.3	119699	119914	IntergenicRegion_86_Rv0102-Rv0103c	False	Rv0102	NotExcluded	Rv0103c	NotExcluded
NC_000962.3	122173	122316	IntergenicRegion_87_Rv0103c-Rv0104	False	Rv0103c	NotExcluded	Rv0104	NotExcluded
NC_000962.3	123831	123979	IntergenicRegion_88_Rv0104-Rv0105c	False	Rv0104	NotExcluded	Rv0105c	NotExcluded
NC_000962.3	124264	124373	IntergenicRegion_89_Rv0105c-Rv0106	False	Rv0105c	NotExcluded	Rv0106	NotExcluded
NC_000962.3	125570	125642	IntergenicRegion_90_Rv0106-Rv0107c	False	Rv0106	NotExcluded	Rv0107c	NotExcluded
NC_000962.3	130541	130894	IntergenicRegion_91_Rv0107c-Rv0108c	False	Rv0107c	NotExcluded	Rv0108c	NotExcluded
NC_000962.3	131104	131381	IntergenicRegion_92_Rv0108c-Rv0109	True	Rv0108c	NotExcluded	Rv0109	PE/PPEs
NC_000962.3	132872	133019	IntergenicRegion_93_Rv0109-Rv0110	True	Rv0109	PE/PPEs	Rv0110	NotExcluded
NC_000962.3	133769	133949	IntergenicRegion_94_Rv0110-Rv0111	False	Rv0110	NotExcluded	Rv0111	NotExcluded
NC_000962.3	136007	136288	IntergenicRegion_95_Rv0111-Rv0112	False	Rv0111	NotExcluded	Rv0112	NotExcluded
NC_000962.3	137245	137318	IntergenicRegion_96_Rv0112-Rv0113	False	Rv0112	NotExcluded	Rv0113	NotExcluded
NC_000962.3	137909	137940	IntergenicRegion_97_Rv0113-Rv0114	False	Rv0113	NotExcluded	Rv0114	NotExcluded
NC_000962.3	139673	140266	IntergenicRegion_98_Rv0115-Rv0116c	False	Rv0115	NotExcluded	Rv0116c	NotExcluded
NC_000962.3	141022	141199	IntergenicRegion_99_Rv0116c-Rv0117	False	Rv0116c	NotExcluded	Rv0117	NotExcluded
NC_000962.3	143876	144048	IntergenicRegion_100_Rv0118c-Rv0119	False	Rv0118c	NotExcluded	Rv0119	NotExcluded
NC_000962.3	147771	147907	IntergenicRegion_101_Rv0120c-Rv0121c	False	Rv0120c	NotExcluded	Rv0121c	NotExcluded
NC_000962.3	148342	148490	IntergenicRegion_102_Rv0121c-Rv0122	False	Rv0121c	NotExcluded	Rv0122	NotExcluded
NC_000962.3	149224	149532	IntergenicRegion_103_Rv0123-Rv0124	True	Rv0123	NotExcluded	Rv0124	PE/PPEs
NC_000962.3	150996	151147	IntergenicRegion_104_Rv0124-Rv0125	True	Rv0124	PE/PPEs	Rv0125	NotExcluded
NC_000962.3	152215	152323	IntergenicRegion_105_Rv0125-Rv0126	False	Rv0125	NotExcluded	Rv0126	NotExcluded
NC_000962.3	154129	154231	IntergenicRegion_106_Rv0126-Rv0127	False	Rv0126	NotExcluded	Rv0127	NotExcluded
NC_000962.3	155599	155666	IntergenicRegion_107_Rv0127-Rv0128	False	Rv0127	NotExcluded	Rv0128	NotExcluded
NC_000962.3	156446	156577	IntergenicRegion_108_Rv0128-Rv0129c	False	Rv0128	NotExcluded	Rv0129c	NotExcluded
NC_000962.3	157600	157846	IntergenicRegion_109_Rv0129c-Rv0130	False	Rv0129c	NotExcluded	Rv0130	NotExcluded
NC_000962.3	158302	158314	IntergenicRegion_110_Rv0130-Rv0131c	False	Rv0130	NotExcluded	Rv0131c	NotExcluded
NC_000962.3	159658	159699	IntergenicRegion_111_Rv0131c-Rv0132c	False	Rv0131c	NotExcluded	Rv0132c	NotExcluded
NC_000962.3	160782	160868	IntergenicRegion_112_Rv0132c-Rv0133	False	Rv0132c	NotExcluded	Rv0133	NotExcluded
NC_000962.3	161474	161770	IntergenicRegion_113_Rv0133-Rv0134	False	Rv0133	NotExcluded	Rv0134	NotExcluded
NC_000962.3	163249	163365	IntergenicRegion_114_Rv0135c-Rv0136	False	Rv0135c	NotExcluded	Rv0136	NotExcluded
NC_000962.3	164691	164711	IntergenicRegion_115_Rv0136-Rv0137c	False	Rv0136	NotExcluded	Rv0137c	NotExcluded
NC_000962.3	165260	165322	IntergenicRegion_116_Rv0137c-Rv0138	False	Rv0137c	NotExcluded	Rv0138	NotExcluded
NC_000962.3	166849	166909	IntergenicRegion_117_Rv0139-Rv0140	False	Rv0139	NotExcluded	Rv0140	NotExcluded
NC_000962.3	167681	167710	IntergenicRegion_118_Rv0141c-Rv0142	False	Rv0141c	NotExcluded	Rv0142	NotExcluded
NC_000962.3	168637	168703	IntergenicRegion_119_Rv0142-Rv0143c	False	Rv0142	NotExcluded	Rv0143c	NotExcluded
NC_000962.3	170182	170283	IntergenicRegion_120_Rv0143c-Rv0144	False	Rv0143c	NotExcluded	Rv0144	NotExcluded
NC_000962.3	171126	171214	IntergenicRegion_121_Rv0144-Rv0145	False	Rv0144	NotExcluded	Rv0145	NotExcluded
NC_000962.3	172168	172210	IntergenicRegion_122_Rv0145-Rv0146	False	Rv0145	NotExcluded	Rv0146	NotExcluded
NC_000962.3	173143	173237	IntergenicRegion_123_Rv0146-Rv0147	False	Rv0146	NotExcluded	Rv0147	NotExcluded
NC_000962.3	174758	174832	IntergenicRegion_124_Rv0147-Rv0148	False	Rv0147	NotExcluded	Rv0148	NotExcluded
NC_000962.3	175693	175699	IntergenicRegion_125_Rv0148-Rv0149	False	Rv0148	NotExcluded	Rv0149	NotExcluded
NC_000962.3	176952	177542	IntergenicRegion_126_Rv0150c-Rv0151c	True	Rv0150c	NotExcluded	Rv0151c	PE/PPEs
NC_000962.3	179309	179318	IntergenicRegion_127_Rv0151c-Rv0152c	True	Rv0151c	PE/PPEs	Rv0152c	PE/PPEs
NC_000962.3	180896	181154	IntergenicRegion_128_Rv0152c-Rv0153c	True	Rv0152c	PE/PPEs	Rv0153c	NotExcluded
NC_000962.3	181985	181986	IntergenicRegion_129_Rv0153c-Rv0154c	False	Rv0153c	NotExcluded	Rv0154c	NotExcluded
NC_000962.3	183198	183621	IntergenicRegion_130_Rv0154c-Rv0155	False	Rv0154c	NotExcluded	Rv0155	NotExcluded
NC_000962.3	186479	186494	IntergenicRegion_131_Rv0157-Rv0157A	False	Rv0157	NotExcluded	Rv0157A	NotExcluded
NC_000962.3	186623	186784	IntergenicRegion_132_Rv0157A-Rv0158	False	Rv0157A	NotExcluded	Rv0158	NotExcluded
NC_000962.3	187429	187432	IntergenicRegion_133_Rv0158-Rv0159c	True	Rv0158	NotExcluded	Rv0159c	PE/PPEs
NC_000962.3	188839	188930	IntergenicRegion_134_Rv0159c-Rv0160c	True	Rv0159c	PE/PPEs	Rv0160c	PE/PPEs
NC_000962.3	190439	190606	IntergenicRegion_135_Rv0160c-Rv0161	True	Rv0160c	PE/PPEs	Rv0161	NotExcluded
NC_000962.3	191956	191983	IntergenicRegion_136_Rv0161-Rv0162c	False	Rv0161	NotExcluded	Rv0162c	NotExcluded
NC_000962.3	193572	193625	IntergenicRegion_137_Rv0163-Rv0164	False	Rv0163	NotExcluded	Rv0164	NotExcluded
NC_000962.3	194111	194143	IntergenicRegion_138_Rv0164-Rv0165c	False	Rv0164	NotExcluded	Rv0165c	NotExcluded
NC_000962.3	194815	194992	IntergenicRegion_139_Rv0165c-Rv0166	False	Rv0165c	NotExcluded	Rv0166	NotExcluded
NC_000962.3	196657	196860	IntergenicRegion_140_Rv0166-Rv0167	False	Rv0166	NotExcluded	Rv0167	NotExcluded
NC_000962.3	197658	197659	IntergenicRegion_141_Rv0167-Rv0168	False	Rv0167	NotExcluded	Rv0168	NotExcluded
NC_000962.3	198529	198533	IntergenicRegion_142_Rv0168-Rv0169	False	Rv0168	NotExcluded	Rv0169	NotExcluded
NC_000962.3	206778	206813	IntergenicRegion_143_Rv0174-Rv0175	False	Rv0174	NotExcluded	Rv0175	NotExcluded
NC_000962.3	209672	209702	IntergenicRegion_144_Rv0178-Rv0179c	False	Rv0178	NotExcluded	Rv0179c	NotExcluded
NC_000962.3	210812	210891	IntergenicRegion_145_Rv0179c-Rv0180c	False	Rv0179c	NotExcluded	Rv0180c	NotExcluded
NC_000962.3	212250	212276	IntergenicRegion_146_Rv0180c-Rv0181c	False	Rv0180c	NotExcluded	Rv0181c	NotExcluded
NC_000962.3	213011	213027	IntergenicRegion_147_Rv0181c-Rv0182c	False	Rv0181c	NotExcluded	Rv0182c	NotExcluded
NC_000962.3	214927	214968	IntergenicRegion_148_Rv0183-Rv0184	False	Rv0183	NotExcluded	Rv0184	NotExcluded
NC_000962.3	216224	216268	IntergenicRegion_149_Rv0185-Rv0186	False	Rv0185	NotExcluded	Rv0186	NotExcluded
NC_000962.3	218344	218389	IntergenicRegion_150_Rv0186-Rv0186A	False	Rv0186	NotExcluded	Rv0186A	NotExcluded
NC_000962.3	218551	218704	IntergenicRegion_151_Rv0186A-Rv0187	False	Rv0186A	NotExcluded	Rv0187	NotExcluded
NC_000962.3	219367	219485	IntergenicRegion_152_Rv0187-Rv0188	False	Rv0187	NotExcluded	Rv0188	NotExcluded
NC_000962.3	219917	219995	IntergenicRegion_153_Rv0188-Rv0189c	False	Rv0188	NotExcluded	Rv0189c	NotExcluded
NC_000962.3	221723	221870	IntergenicRegion_154_Rv0189c-Rv0190	False	Rv0189c	NotExcluded	Rv0190	NotExcluded
NC_000962.3	222161	222288	IntergenicRegion_155_Rv0190-Rv0191	False	Rv0190	NotExcluded	Rv0191	NotExcluded
NC_000962.3	223530	223563	IntergenicRegion_156_Rv0191-Rv0192	False	Rv0191	NotExcluded	Rv0192	NotExcluded
NC_000962.3	224664	224723	IntergenicRegion_157_Rv0192-Rv0193c	False	Rv0192	NotExcluded	Rv0193c	NotExcluded
NC_000962.3	226571	226877	IntergenicRegion_158_Rv0193c-Rv0194	False	Rv0193c	NotExcluded	Rv0194	NotExcluded
NC_000962.3	230462	230898	IntergenicRegion_159_Rv0194-Rv0195	False	Rv0194	NotExcluded	Rv0195	NotExcluded
NC_000962.3	231534	231646	IntergenicRegion_160_Rv0195-Rv0196	False	Rv0195	NotExcluded	Rv0196	NotExcluded
NC_000962.3	236507	236549	IntergenicRegion_161_Rv0198c-Rv0199	False	Rv0198c	NotExcluded	Rv0199	NotExcluded
NC_000962.3	241292	241513	IntergenicRegion_162_Rv0202c-Rv0203	False	Rv0202c	NotExcluded	Rv0203	NotExcluded
NC_000962.3	241924	241975	IntergenicRegion_163_Rv0203-Rv0204c	False	Rv0203	NotExcluded	Rv0204c	NotExcluded
NC_000962.3	243214	243383	IntergenicRegion_164_Rv0204c-Rv0205	False	Rv0204c	NotExcluded	Rv0205	NotExcluded
NC_000962.3	247318	247383	IntergenicRegion_165_Rv0206c-Rv0207c	False	Rv0206c	NotExcluded	Rv0207c	NotExcluded
NC_000962.3	248112	248114	IntergenicRegion_166_Rv0207c-Rv0208c	False	Rv0207c	NotExcluded	Rv0208c	NotExcluded
NC_000962.3	248906	249037	IntergenicRegion_167_Rv0208c-Rv0209	False	Rv0208c	NotExcluded	Rv0209	NotExcluded
NC_000962.3	251598	251781	IntergenicRegion_168_Rv0210-Rv0211	False	Rv0210	NotExcluded	Rv0211	NotExcluded
NC_000962.3	253602	253668	IntergenicRegion_169_Rv0211-Rv0212c	False	Rv0211	NotExcluded	Rv0212c	NotExcluded
NC_000962.3	255950	256063	IntergenicRegion_170_Rv0213c-Rv0214	False	Rv0213c	NotExcluded	Rv0214	NotExcluded
NC_000962.3	257677	257782	IntergenicRegion_171_Rv0214-Rv0215c	False	Rv0214	NotExcluded	Rv0215c	NotExcluded
NC_000962.3	258856	258912	IntergenicRegion_172_Rv0215c-Rv0216	False	Rv0215c	NotExcluded	Rv0216	NotExcluded
NC_000962.3	260831	260923	IntergenicRegion_173_Rv0217c-Rv0218	False	Rv0217c	NotExcluded	Rv0218	NotExcluded
NC_000962.3	262252	262253	IntergenicRegion_174_Rv0218-Rv0219	False	Rv0218	NotExcluded	Rv0219	NotExcluded
NC_000962.3	262802	262811	IntergenicRegion_175_Rv0219-Rv0220	False	Rv0219	NotExcluded	Rv0220	NotExcluded
NC_000962.3	264023	264066	IntergenicRegion_176_Rv0220-Rv0221	False	Rv0220	NotExcluded	Rv0221	NotExcluded
NC_000962.3	265476	265506	IntergenicRegion_177_Rv0221-Rv0222	False	Rv0221	NotExcluded	Rv0222	NotExcluded
NC_000962.3	266295	266300	IntergenicRegion_178_Rv0222-Rv0223c	False	Rv0222	NotExcluded	Rv0223c	NotExcluded
NC_000962.3	267764	267862	IntergenicRegion_179_Rv0223c-Rv0224c	False	Rv0223c	NotExcluded	Rv0224c	NotExcluded
NC_000962.3	268627	268662	IntergenicRegion_180_Rv0224c-Rv0225	False	Rv0224c	NotExcluded	Rv0225	NotExcluded
NC_000962.3	269817	269833	IntergenicRegion_181_Rv0225-Rv0226c	False	Rv0225	NotExcluded	Rv0226c	NotExcluded
NC_000962.3	271564	271573	IntergenicRegion_182_Rv0226c-Rv0227c	False	Rv0226c	NotExcluded	Rv0227c	NotExcluded
NC_000962.3	272839	273054	IntergenicRegion_183_Rv0227c-Rv0228	False	Rv0227c	NotExcluded	Rv0228	NotExcluded
NC_000962.3	274278	274305	IntergenicRegion_184_Rv0228-Rv0229c	False	Rv0228	NotExcluded	Rv0229c	NotExcluded
NC_000962.3	275963	276057	IntergenicRegion_185_Rv0230c-Rv0231	False	Rv0230c	NotExcluded	Rv0231	NotExcluded
NC_000962.3	277764	277898	IntergenicRegion_186_Rv0231-Rv0232	False	Rv0231	NotExcluded	Rv0232	NotExcluded
NC_000962.3	279529	279604	IntergenicRegion_187_Rv0233-Rv0234c	False	Rv0233	NotExcluded	Rv0234c	NotExcluded
NC_000962.3	281140	281165	IntergenicRegion_188_Rv0234c-Rv0235c	False	Rv0234c	NotExcluded	Rv0235c	NotExcluded
NC_000962.3	282614	282648	IntergenicRegion_189_Rv0235c-Rv0236c	False	Rv0235c	NotExcluded	Rv0236c	NotExcluded
NC_000962.3	286851	286897	IntergenicRegion_190_Rv0236c-Rv0236A	False	Rv0236c	NotExcluded	Rv0236A	NotExcluded
NC_000962.3	287071	287185	IntergenicRegion_191_Rv0236A-Rv0237	False	Rv0236A	NotExcluded	Rv0237	NotExcluded
NC_000962.3	288352	288427	IntergenicRegion_192_Rv0237-Rv0238	False	Rv0237	NotExcluded	Rv0238	NotExcluded
NC_000962.3	289042	289103	IntergenicRegion_193_Rv0238-Rv0239	False	Rv0238	NotExcluded	Rv0239	NotExcluded
NC_000962.3	289337	289344	IntergenicRegion_194_Rv0239-Rv0240	False	Rv0239	NotExcluded	Rv0240	NotExcluded
NC_000962.3	289782	289811	IntergenicRegion_195_Rv0240-Rv0241c	False	Rv0240	NotExcluded	Rv0241c	NotExcluded
NC_000962.3	290654	290664	IntergenicRegion_196_Rv0241c-Rv0242c	False	Rv0241c	NotExcluded	Rv0242c	NotExcluded
NC_000962.3	292029	292170	IntergenicRegion_197_Rv0242c-Rv0243	False	Rv0242c	NotExcluded	Rv0243	NotExcluded
NC_000962.3	293493	293797	IntergenicRegion_198_Rv0243-Rv0244c	False	Rv0243	NotExcluded	Rv0244c	NotExcluded
NC_000962.3	295633	296004	IntergenicRegion_199_Rv0244c-Rv0245	False	Rv0244c	NotExcluded	Rv0245	NotExcluded
NC_000962.3	296493	296808	IntergenicRegion_200_Rv0245-Rv0246	False	Rv0245	NotExcluded	Rv0246	NotExcluded
NC_000962.3	300803	300833	IntergenicRegion_201_Rv0248c-Rv0249c	False	Rv0248c	NotExcluded	Rv0249c	NotExcluded
NC_000962.3	301655	301734	IntergenicRegion_202_Rv0249c-Rv0250c	False	Rv0249c	NotExcluded	Rv0250c	NotExcluded
NC_000962.3	302028	302172	IntergenicRegion_203_Rv0250c-Rv0251c	False	Rv0250c	NotExcluded	Rv0251c	NotExcluded
NC_000962.3	302652	302865	IntergenicRegion_204_Rv0251c-Rv0252	False	Rv0251c	NotExcluded	Rv0252	NotExcluded
NC_000962.3	305427	305452	IntergenicRegion_205_Rv0252-Rv0253	False	Rv0252	NotExcluded	Rv0253	NotExcluded
