Chrom	Start	End	Strand	H37rv_GeneID	Symbol	Feature	Functional_Category	Is_Pseudogene	Product	PEandPPE_Subfamily	ExcludedGroup_Category
NC_000962.3	13713	13995	-	Rv0011c	Rv0011c	CDS	cell wall and cell processes	No	Probable conserved transmembrane protein	None	NotExcluded
NC_000962.3	14088	14877	+	Rv0012	Rv0012	CDS	cell wall and cell processes	No	Probable conserved membrane protein	None	NotExcluded
NC_000962.3	14913	15612	+	Rv0013	trpG	CDS	intermediary metabolism and respiration	No	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)	None	NotExcluded
NC_000962.3	15589	17470	-	Rv0014c	pknB	CDS	regulatory proteins	No	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)	None	NotExcluded
NC_000962.3	17466	18762	-	Rv0015c	pknA	CDS	regulatory proteins	No	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)	None	NotExcluded
NC_000962.3	18758	20234	-	Rv0016c	pbpA	CDS	cell wall and cell processes	No	Probable penicillin-binding protein PbpA	None	NotExcluded
NC_000962.3	20230	21640	-	Rv0017c	rodA	CDS	cell wall and cell processes	No	Probable cell division protein RodA	None	NotExcluded
NC_000962.3	21636	23181	-	Rv0018c	pstP	CDS	regulatory proteins	No	Phosphoserine/threonine phosphatase PstP	None	NotExcluded
NC_000962.3	23269	23737	-	Rv0019c	fhaB	CDS	regulatory proteins	No	Conserved protein with FHA domain, FhaB	None	NotExcluded
NC_000962.3	23860	25444	-	Rv0020c	fhaA	CDS	regulatory proteins	No	Conserved protein with FHA domain, FhaA	None	NotExcluded
NC_000962.3	25643	25726	+	MTB000003	leuT	tRNA	stable RNAs	No	tRNA-Leu (CAG)	None	NotExcluded
NC_000962.3	25912	26881	-	Rv0021c	Rv0021c	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	27022	27442	-	Rv0022c	whiB5	CDS	regulatory proteins	No	Probable transcriptional regulatory protein WhiB-like WhiB5	None	NotExcluded
NC_000962.3	27594	28365	+	Rv0023	Rv0023	CDS	regulatory proteins	No	Possible transcriptional regulatory protein	None	NotExcluded
NC_000962.3	28361	29207	+	Rv0024	Rv0024	CDS	virulence, detoxification, adaptation	No	Putative secreted protein P60-related protein	None	NotExcluded
NC_000962.3	29244	29607	+	Rv0025	Rv0025	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	29721	31068	+	Rv0026	Rv0026	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	31188	31506	+	Rv0027	Rv0027	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	31513	31819	+	Rv0028	Rv0028	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	32056	33154	+	Rv0029	Rv0029	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	33223	33553	+	Rv0030	Rv0030	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	33581	33794	+	Rv0031	Rv0031	CDS	insertion seqs and phages	No	Possible remnant of a transposase	None	InsertionSeqs_And_Phages
NC_000962.3	34294	36610	+	Rv0032	bioF2	CDS	intermediary metabolism and respiration	No	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)	None	NotExcluded
NC_000962.3	36606	36870	+	Rv0033	acpA	CDS	lipid metabolism	No	Probable acyl carrier protein AcpA (ACP)	None	NotExcluded
NC_000962.3	36866	37262	+	Rv0034	Rv0034	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	37258	38947	+	Rv0035	fadD34	CDS	lipid metabolism	No	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	None	NotExcluded
NC_000962.3	39055	39829	-	Rv0036c	Rv0036c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	39876	41202	-	Rv0037c	Rv0037c	CDS	cell wall and cell processes	No	Probable conserved integral membrane protein	None	NotExcluded
NC_000962.3	41303	41912	+	Rv0038	Rv0038	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	42003	42351	-	Rv0039c	Rv0039c	CDS	cell wall and cell processes	No	Possible conserved transmembrane protein	None	NotExcluded
NC_000962.3	42432	43365	-	Rv0040c	mtc28	CDS	cell wall and cell processes	No	Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)	None	NotExcluded
NC_000962.3	43561	46471	+	Rv0041	leuS	CDS	information pathways	No	Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)	None	NotExcluded
NC_000962.3	46580	47207	-	Rv0042c	Rv0042c	CDS	regulatory proteins	No	Possible transcriptional regulatory protein (probably MarR-family)	None	NotExcluded
NC_000962.3	47365	48100	-	Rv0043c	Rv0043c	CDS	regulatory proteins	No	Probable transcriptional regulatory protein (probably GntR-family)	None	NotExcluded
NC_000962.3	48232	49027	-	Rv0044c	Rv0044c	CDS	intermediary metabolism and respiration	No	Possible oxidoreductase	None	NotExcluded
NC_000962.3	49042	49939	-	Rv0045c	Rv0045c	CDS	lipid metabolism	No	Possible hydrolase	None	NotExcluded
NC_000962.3	50020	51124	-	Rv0046c	ino1	CDS	intermediary metabolism and respiration	No	myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)	None	NotExcluded
NC_000962.3	51184	51727	-	Rv0047c	Rv0047c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	51827	52697	-	Rv0048c	Rv0048c	CDS	cell wall and cell processes	No	Possible membrane protein	None	NotExcluded
NC_000962.3	52830	53244	+	Rv0049	Rv0049	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	53662	55699	+	Rv0050	ponA1	CDS	cell wall and cell processes	No	Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)	None	NotExcluded
NC_000962.3	55695	57378	+	Rv0051	Rv0051	CDS	cell wall and cell processes	No	Probable conserved transmembrane protein	None	NotExcluded
NC_000962.3	57409	57973	+	Rv0052	Rv0052	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	58191	58482	+	Rv0053	rpsF	CDS	information pathways	No	30S ribosomal protein S6 RpsF	None	NotExcluded
NC_000962.3	58585	59080	+	Rv0054	ssb	CDS	information pathways	No	Single-strand binding protein Ssb (helix-destabilizing protein)	None	NotExcluded
NC_000962.3	59121	59376	+	Rv0055	rpsR1	CDS	information pathways	No	30S ribosomal protein S18-1 RpsR1	None	NotExcluded
NC_000962.3	59408	59867	+	Rv0056	rplI	CDS	information pathways	No	50S ribosomal protein L9 RplI	None	NotExcluded
NC_000962.3	59895	60417	+	Rv0057	Rv0057	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	60395	63020	+	Rv0058	dnaB	CDS	information pathways	No	Probable replicative DNA helicase DnaB	None	NotExcluded
NC_000962.3	63199	63892	+	Rv0059	Rv0059	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	63908	64967	+	Rv0060	Rv0060	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	65011	65350	-	Rv0061c	Rv0061c	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	65551	66694	+	Rv0062	celA1	CDS	intermediary metabolism and respiration	No	Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)	None	NotExcluded
NC_000962.3	66922	68362	+	Rv0063	Rv0063	CDS	intermediary metabolism and respiration	No	Possible oxidoreductase	None	NotExcluded
NC_000962.3	68619	71559	+	Rv0064	Rv0064	CDS	cell wall and cell processes	No	Probable conserved transmembrane protein	None	NotExcluded
NC_000962.3	71588	71828	+	Rv0064A	vapB1	CDS	virulence, detoxification, adaptation	No	Possible antitoxin VapB1	None	NotExcluded
NC_000962.3	71820	72222	+	Rv0065	vapC1	CDS	virulence, detoxification, adaptation	No	Possible toxin VapC1	None	NotExcluded
NC_000962.3	72273	74511	-	Rv0066c	icd2	CDS	intermediary metabolism and respiration	No	Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)	None	NotExcluded
NC_000962.3	74628	75198	-	Rv0067c	Rv0067c	CDS	regulatory proteins	No	Possible transcriptional regulatory protein (possibly TetR-family)	None	NotExcluded
NC_000962.3	75300	76212	+	Rv0068	Rv0068	CDS	intermediary metabolism and respiration	No	Probable oxidoreductase	None	NotExcluded
NC_000962.3	76236	77622	-	Rv0069c	sdaA	CDS	intermediary metabolism and respiration	No	Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)	None	NotExcluded
NC_000962.3	77618	78896	-	Rv0070c	glyA2	CDS	intermediary metabolism and respiration	No	Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)	None	NotExcluded
NC_000962.3	79485	80193	+	Rv0071	Rv0071	CDS	information pathways	No	Possible maturase	None	NotExcluded
NC_000962.3	80623	81673	+	Rv0072	Rv0072	CDS	cell wall and cell processes	No	Probable glutamine-transport transmembrane protein ABC transporter	None	NotExcluded
NC_000962.3	81675	82668	+	Rv0073	Rv0073	CDS	cell wall and cell processes	No	Probable glutamine-transport ATP-binding protein ABC transporter	None	NotExcluded
NC_000962.3	82747	83983	+	Rv0074	Rv0074	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	83995	85168	+	Rv0075	Rv0075	CDS	intermediary metabolism and respiration	No	Probable aminotransferase	None	NotExcluded
NC_000962.3	85182	85572	-	Rv0076c	Rv0076c	CDS	cell wall and cell processes	No	Probable membrane protein	None	NotExcluded
NC_000962.3	85635	86466	-	Rv0077c	Rv0077c	CDS	intermediary metabolism and respiration	No	Probable oxidoreductase	None	NotExcluded
NC_000962.3	86527	87133	+	Rv0078	Rv0078	CDS	regulatory proteins	No	Probable transcriptional regulatory protein	None	NotExcluded
NC_000962.3	87207	87801	-	Rv0078A	Rv0078A	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	87797	88004	-	Rv0078B	Rv0078B	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	88203	89025	+	Rv0079	Rv0079	CDS	conserved hypotheticals	No	Unknown protein	None	NotExcluded
NC_000962.3	89021	89480	+	Rv0080	Rv0080	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	89574	89919	+	Rv0081	Rv0081	CDS	regulatory proteins	No	Probable transcriptional regulatory protein	None	NotExcluded
NC_000962.3	89923	90403	+	Rv0082	Rv0082	CDS	intermediary metabolism and respiration	No	Probable oxidoreductase	None	NotExcluded
NC_000962.3	90399	92322	+	Rv0083	Rv0083	CDS	intermediary metabolism and respiration	No	Probable oxidoreductase	None	NotExcluded
NC_000962.3	92327	93278	+	Rv0084	hycD	CDS	intermediary metabolism and respiration	No	Possible formate hydrogenlyase HycD (FHL)	None	NotExcluded
NC_000962.3	93288	93951	+	Rv0085	hycP	CDS	intermediary metabolism and respiration	No	Possible hydrogenase HycP	None	NotExcluded
NC_000962.3	93950	95417	+	Rv0086	hycQ	CDS	intermediary metabolism and respiration	No	Possible hydrogenase HycQ	None	NotExcluded
NC_000962.3	95413	96892	+	Rv0087	hycE	CDS	intermediary metabolism and respiration	No	Possible formate hydrogenase HycE (FHL)	None	NotExcluded
NC_000962.3	96926	97601	+	Rv0088	Rv0088	CDS	lipid metabolism	No	Possible polyketide cyclase/dehydrase	None	NotExcluded
NC_000962.3	97757	98351	+	Rv0089	Rv0089	CDS	intermediary metabolism and respiration	No	Possible methyltransferase/methylase	None	NotExcluded
NC_000962.3	98479	99250	+	Rv0090	Rv0090	CDS	cell wall and cell processes	No	Possible membrane protein	None	NotExcluded
NC_000962.3	99683	100451	+	Rv0091	mtn	CDS	intermediary metabolism and respiration	No	Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase)	None	NotExcluded
NC_000962.3	100582	102868	+	Rv0092	ctpA	CDS	cell wall and cell processes	No	Cation transporter P-type ATPase a CtpA	None	NotExcluded
NC_000962.3	102814	103663	-	Rv0093c	Rv0093c	CDS	cell wall and cell processes	No	Probable conserved membrane protein	None	NotExcluded
NC_000962.3	103709	104663	-	Rv0094c	Rv0094c	CDS	insertion seqs and phages	No	Conserved hypothetical protein	None	InsertionSeqs_And_Phages
NC_000962.3	104804	105215	-	Rv0095c	Rv0095c	CDS	insertion seqs and phages	No	Conserved hypothetical protein	None	InsertionSeqs_And_Phages
NC_000962.3	105323	106715	+	Rv0096	PPE1	CDS	PE/PPE	No	PPE family protein PPE1	PPE_SL-2_PPE-PPW	PE/PPEs
NC_000962.3	106733	107603	+	Rv0097	Rv0097	CDS	intermediary metabolism and respiration	No	Possible oxidoreductase	None	NotExcluded
NC_000962.3	107599	108151	+	Rv0098	fcoT	CDS	lipid metabolism	No	Probable fatty acyl CoA thioesterase type III FcoT	None	NotExcluded
NC_000962.3	108155	109778	+	Rv0099	fadD10	CDS	lipid metabolism	No	Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	None	NotExcluded
NC_000962.3	109782	110019	+	Rv0100	Rv0100	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	110000	117539	+	Rv0101	nrp	CDS	lipid metabolism	No	Probable peptide synthetase Nrp (peptide synthase)	None	NotExcluded
NC_000962.3	117713	119699	+	Rv0102	Rv0102	CDS	cell wall and cell processes	No	Probable conserved integral membrane protein	None	NotExcluded
NC_000962.3	119914	122173	-	Rv0103c	ctpB	CDS	cell wall and cell processes	No	Probable cation-transporter P-type ATPase B CtpB	None	NotExcluded
NC_000962.3	122316	123831	+	Rv0104	Rv0104	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	123979	124264	-	Rv0105c	rpmB1	CDS	information pathways	No	50S ribosomal protein L28-1 RpmB1	None	NotExcluded
NC_000962.3	124373	125570	+	Rv0106	Rv0106	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	125642	130541	-	Rv0107c	ctpI	CDS	cell wall and cell processes	No	Probable cation-transporter ATPase I CtpI	None	NotExcluded
NC_000962.3	130894	131104	-	Rv0108c	Rv0108c	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	131381	132872	+	Rv0109	PE_PGRS1	CDS	PE/PPE	No	PE-PGRS family protein PE_PGRS1	PE_V_PGRS	PE/PPEs
NC_000962.3	133019	133769	+	Rv0110	Rv0110	CDS	cell wall and cell processes	No	Probable conserved integral membrane protein	None	NotExcluded
NC_000962.3	133949	136007	+	Rv0111	Rv0111	CDS	intermediary metabolism and respiration	No	Possible transmembrane acyltransferase	None	NotExcluded
NC_000962.3	136288	137245	+	Rv0112	gca	CDS	cell wall and cell processes	No	Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)	None	NotExcluded
NC_000962.3	137318	137909	+	Rv0113	gmhA	CDS	cell wall and cell processes	No	Probable sedoheptulose-7-phosphate isomerase GmhA (phosphoheptose isomerase)	None	NotExcluded
NC_000962.3	137940	138513	+	Rv0114	gmhB	CDS	cell wall and cell processes	No	Possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB (D-glycero-D-manno-heptose 7-phosphate kinase)	None	NotExcluded
NC_000962.3	138512	139673	+	Rv0115	hddA	CDS	cell wall and cell processes	No	Possible D-alpha-D-heptose-7-phosphate kinase HddA	None	NotExcluded
NC_000962.3	140266	141022	-	Rv0116c	ldtA	CDS	cell wall and cell processes	No	Probable L,D-transpeptidase LdtA	None	NotExcluded
NC_000962.3	141199	142144	+	Rv0117	oxyS	CDS	regulatory proteins	No	Oxidative stress response regulatory protein OxyS	None	NotExcluded
NC_000962.3	142127	143876	-	Rv0118c	oxcA	CDS	intermediary metabolism and respiration	No	Probable oxalyl-CoA decarboxylase OxcA	None	NotExcluded
NC_000962.3	144048	145626	+	Rv0119	fadD7	CDS	lipid metabolism	No	Probable fatty-acid-CoA ligase FadD7 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	None	NotExcluded
NC_000962.3	145626	147771	-	Rv0120c	fusA2	CDS	information pathways	No	Probable elongation factor G FusA2 (EF-G)	None	NotExcluded
NC_000962.3	147907	148342	-	Rv0121c	Rv0121c	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	148490	148859	+	Rv0122	Rv0122	CDS	conserved hypotheticals	No	Hypothetical protein	None	NotExcluded
NC_000962.3	148855	149224	+	Rv0123	Rv0123	CDS	conserved hypotheticals	No	Unknown protein	None	NotExcluded
NC_000962.3	149532	150996	+	Rv0124	PE_PGRS2	CDS	PE/PPE	No	PE-PGRS family protein PE_PGRS2	PE_V_PGRS	PE/PPEs
NC_000962.3	151147	152215	+	Rv0125	pepA	CDS	intermediary metabolism and respiration	No	Probable serine protease PepA (serine proteinase) (MTB32A)	None	NotExcluded
NC_000962.3	152323	154129	+	Rv0126	treS	CDS	virulence, detoxification, adaptation	No	Trehalose synthase TreS	None	NotExcluded
NC_000962.3	154231	155599	+	Rv0127	mak	CDS	virulence, detoxification, adaptation	No	Maltokinase Mak	None	NotExcluded
NC_000962.3	155666	156446	+	Rv0128	Rv0128	CDS	cell wall and cell processes	No	Probable conserved transmembrane protein	None	NotExcluded
NC_000962.3	156577	157600	-	Rv0129c	fbpC	CDS	lipid metabolism	No	Secreted antigen 85-C FbpC (85C) (antigen 85 complex C) (AG58C) (mycolyl transferase 85C) (fibronectin-binding protein C)	None	NotExcluded
NC_000962.3	157846	158302	+	Rv0130	htdZ	CDS	intermediary metabolism and respiration	No	Probable 3-hydroxyl-thioester dehydratase	None	NotExcluded
NC_000962.3	158314	159658	-	Rv0131c	fadE1	CDS	lipid metabolism	No	Probable acyl-CoA dehydrogenase FadE1	None	NotExcluded
NC_000962.3	159699	160782	-	Rv0132c	fgd2	CDS	intermediary metabolism and respiration	No	Putative F420-dependent glucose-6-phosphate dehydrogenase Fgd2	None	NotExcluded
NC_000962.3	160868	161474	+	Rv0133	Rv0133	CDS	intermediary metabolism and respiration	No	GCN5-related N-acetyltransferase	None	NotExcluded
NC_000962.3	161770	162673	+	Rv0134	ephF	CDS	virulence, detoxification, adaptation	No	Possible epoxide hydrolase EphF (epoxide hydratase) (arene-oxide hydratase)	None	NotExcluded
NC_000962.3	162643	163249	-	Rv0135c	Rv0135c	CDS	regulatory proteins	No	Possible transcriptional regulatory protein	None	NotExcluded
NC_000962.3	163365	164691	+	Rv0136	cyp138	CDS	intermediary metabolism and respiration	No	Probable cytochrome P450 138 Cyp138	None	NotExcluded
NC_000962.3	164711	165260	-	Rv0137c	msrA	CDS	intermediary metabolism and respiration	No	Probable peptide methionine sulfoxide reductase MsrA (protein-methionine-S-oxide reductase) (peptide met(O) reductase)	None	NotExcluded
NC_000962.3	165322	165826	+	Rv0138	Rv0138	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	165826	166849	+	Rv0139	Rv0139	CDS	intermediary metabolism and respiration	No	Possible oxidoreductase	None	NotExcluded
NC_000962.3	166909	167290	+	Rv0140	Rv0140	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	167270	167681	-	Rv0141c	Rv0141c	CDS	conserved hypotheticals	No	Unknown protein	None	NotExcluded
NC_000962.3	167710	168637	+	Rv0142	Rv0142	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	168703	170182	-	Rv0143c	Rv0143c	CDS	cell wall and cell processes	No	Probable conserved transmembrane protein	None	NotExcluded
NC_000962.3	170283	171126	+	Rv0144	Rv0144	CDS	regulatory proteins	No	Probable transcriptional regulatory protein (possibly TetR-family)	None	NotExcluded
NC_000962.3	171214	172168	+	Rv0145	Rv0145	CDS	lipid metabolism	No	Possible S-adenosylmethionine-dependent methyltransferase	None	NotExcluded
NC_000962.3	172210	173143	+	Rv0146	Rv0146	CDS	lipid metabolism	No	Possible S-adenosylmethionine-dependent methyltransferase	None	NotExcluded
NC_000962.3	173237	174758	+	Rv0147	Rv0147	CDS	intermediary metabolism and respiration	No	Probable aldehyde dehydrogenase (NAD+) dependent	None	NotExcluded
NC_000962.3	174832	175693	+	Rv0148	Rv0148	CDS	intermediary metabolism and respiration	No	Probable short-chain type dehydrogenase/reductase	None	NotExcluded
NC_000962.3	175699	176668	+	Rv0149	Rv0149	CDS	intermediary metabolism and respiration	No	Possible quinone oxidoreductase (NADPH:quinone oxidoreductase) (zeta-crystallin)	None	NotExcluded
NC_000962.3	176664	176952	-	Rv0150c	Rv0150c	CDS	conserved hypotheticals	No	Conserved hypothetical protein	None	NotExcluded
NC_000962.3	177542	179309	-	Rv0151c	PE1	CDS	PE/PPE	No	PE family protein PE1	PE_V_	PE/PPEs
NC_000962.3	179318	180896	-	Rv0152c	PE2	CDS	PE/PPE	No	PE family protein PE2	PE_V_	PE/PPEs
NC_000962.3	181154	181985	-	Rv0153c	ptbB	CDS	regulatory proteins	No	Phosphotyrosine protein phosphatase PTPB (protein-tyrosine-phosphatase) (PTPase)	None	NotExcluded
NC_000962.3	181986	183198	-	Rv0154c	fadE2	CDS	lipid metabolism	No	Probable acyl-CoA dehydrogenase FadE2	None	NotExcluded
NC_000962.3	183621	184722	+	Rv0155	pntAa	CDS	intermediary metabolism and respiration	No	Probable NAD(P) transhydrogenase (subunit alpha) PntAa [first part; catalytic part] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)	None	NotExcluded
NC_000962.3	184722	185055	+	Rv0156	pntAb	CDS	intermediary metabolism and respiration	No	Probable NAD(P) transhydrogenase (subunit alpha) PntAb [second part; integral membrane protein] (pyridine nucleotide transhydrogenase subunit alpha) (nicotinamide nucleotide transhydrogenase subunit alpha)	None	NotExcluded
NC_000962.3	185051	186479	+	Rv0157	pntB	CDS	intermediary metabolism and respiration	No	Probable NAD(P) transhydrogenase (subunit beta) PntB [integral membrane protein] (pyridine nucleotide transhydrogenase subunit beta) (nicotinamide nucleotide transhydrogenase subunit beta)	None	NotExcluded
NC_000962.3	186494	186623	-	Rv0157A	Rv0157A	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	186784	187429	+	Rv0158	Rv0158	CDS	regulatory proteins	No	Probable transcriptional regulatory protein (possibly TetR-family)	None	NotExcluded
NC_000962.3	187432	188839	-	Rv0159c	PE3	CDS	PE/PPE	No	PE family protein PE3	PE_V_	PE/PPEs
NC_000962.3	188930	190439	-	Rv0160c	PE4	CDS	PE/PPE	No	PE family protein PE4	PE_V_	PE/PPEs
NC_000962.3	190606	191956	+	Rv0161	Rv0161	CDS	intermediary metabolism and respiration	No	Possible oxidoreductase	None	NotExcluded
NC_000962.3	191983	193135	-	Rv0162c	adhE1	CDS	intermediary metabolism and respiration	No	Probable zinc-type alcohol dehydrogenase (E subunit) AdhE1	None	NotExcluded
NC_000962.3	193116	193572	+	Rv0163	Rv0163	CDS	conserved hypotheticals	No	Conserved protein	None	NotExcluded
NC_000962.3	193625	194111	+	Rv0164	TB18.5	CDS	conserved hypotheticals	No	Conserved protein TB18.5	None	NotExcluded
NC_000962.3	194143	194815	-	Rv0165c	mce1R	CDS	regulatory proteins	No	Probable transcriptional regulatory protein Mce1R (probably GntR-family)	None	NotExcluded
NC_000962.3	194992	196657	+	Rv0166	fadD5	CDS	lipid metabolism	No	Probable fatty-acid-CoA ligase FadD5 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	None	NotExcluded
NC_000962.3	196860	197658	+	Rv0167	yrbE1A	CDS	virulence, detoxification, adaptation	No	Conserved integral membrane protein YrbE1A	None	NotExcluded
NC_000962.3	197659	198529	+	Rv0168	yrbE1B	CDS	virulence, detoxification, adaptation	No	Conserved integral membrane protein YrbE1B	None	NotExcluded
NC_000962.3	198533	199898	+	Rv0169	mce1A	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce1A	None	NotExcluded
NC_000962.3	199894	200935	+	Rv0170	mce1B	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce1B	None	NotExcluded
NC_000962.3	200931	202479	+	Rv0171	mce1C	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce1C	None	NotExcluded
NC_000962.3	202475	204068	+	Rv0172	mce1D	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce1D	None	NotExcluded
NC_000962.3	204064	205237	+	Rv0173	lprK	CDS	cell wall and cell processes	No	Possible Mce-family lipoprotein LprK (Mce-family lipoprotein Mce1E)	None	NotExcluded
NC_000962.3	205230	206778	+	Rv0174	mce1F	CDS	virulence, detoxification, adaptation	No	Mce-family protein Mce1F	None	NotExcluded
NC_000962.3	206813	207455	+	Rv0175	Rv0175	CDS	cell wall and cell processes	No	Probable conserved Mce associated membrane protein	None	NotExcluded
