lineage,position,gene_coordinate,allele_change,codon_number,codon_change,amino_acid_change,locus_Id,gene_name,mutation_type,essential,diagnostic_snp
lineage1,162226,456,G/A,152,TGG/TGA,W/*,Rv0134,ephF,nonsyn,nonessential,no
lineage1,167986,276,C/T,92,GAC/GAT,D/D,Rv0142,0,syn,nonessential,no
lineage1,168787,1396,C/T,466,GTC/ATC,V/I,Rv0143c,0,nonsyn,nonessential,no
lineage1,189948,492,C/G,164,AAG/AAC,K/N,Rv0160c,PE4,nonsyn,ND,no
lineage1,196874,14,C/T,5,ACA/ATA,T/I,Rv0167,yrbE1A,nonsyn,nonessential,no
lineage1,211993,258,C/A,86,AAG/AAT,K/N,Rv0180c,0,nonsyn,nonessential,no
lineage1,215238,270,C/T,90,GAC/GAT,D/D,Rv0184,0,syn,nonessential,no
lineage1,226676,0,G/A,0,./.,./.,0,0,inter,0,no
lineage1,254903,1048,C/A,350,GGC/TGC,G/C,Rv0213c,0,nonsyn,nonessential,no
lineage1,263149,338,A/C,113,GAG/GCG,E/A,Rv0220,lipC,nonsyn,nonessential,no
lineage1,264298,232,C/A,78,CAG/AAG,Q/K,Rv0221,0,nonsyn,nonessential,no
lineage1,264984,918,C/G,306,ACC/ACG,T/T,Rv0221,0,syn,nonessential,no
lineage1,272678,162,C/T,54,GCG/GCA,A/A,Rv0227c,0,syn,essential,no
lineage1,290374,281,T/C,94,CAC/CGC,H/R,Rv0241c,htdX,nonsyn,nonessential,no
lineage1,308312,1236,G/A,412,ACC/ACT,T/T,Rv0256c,PPE2,syn,ND,no
lineage1,326002,1436,A/G,479,GAT/GGT,D/G,Rv0270,fadD2,nonsyn,nonessential,no
lineage1,339508,145,C/T,49,CTG/TTG,L/L,Rv0280,PPE3,syn,ND,no
lineage1,344288,267,C/G,89,TCC/TCG,S/S,Rv0283,eccB3,syn,essential,no
lineage1,357582,483,G/A,161,CAC/CAT,H/H,Rv0293c,0,syn,nonessential,no
lineage1,368948,3817,T/C,1273,ATC/GTC,I/V,Rv0304c,PPE5,nonsyn,ND,no
lineage1,378357,427,T/G,143,TCC/GCC,S/A,Rv0309,0,nonsyn,ND,no
lineage1,378939,210,G/C,70,CGC/CGG,R/R,Rv0310c,0,syn,nonessential,no
lineage1,393941,105,C/T,35,ATG/ATA,M/I,Rv0327c,cyp135A1,nonsyn,nonessential,no
lineage1,396750,550,G/A,184,GTA/ATA,V/I,Rv0331,0,nonsyn,nonessential,no
lineage1,406274,2175,T/C,725,GCA/GCG,A/A,Rv0339c,0,syn,nonessential,no
lineage1,420405,571,C/T,191,CGT/TGT,R/C,Rv0350,dnaK,nonsyn,essential,no
lineage1,424250,0,A/G,0,./.,./.,0,0,inter,0,no
lineage1,426768,7912,C/T,2638,GGC/AGC,G/S,Rv0355c,PPE8,nonsyn,ND,no
lineage1,434327,353,A/G,118,GTG/GCG,V/A,Rv0355c,PPE8,nonsyn,ND,no
lineage1,439711,0,T/C,0,./.,./.,0,0,inter,0,no
lineage1,447525,519,G/C,173,ATC/ATG,I/M,Rv0370c,0,nonsyn,nonessential,no
lineage1,452288,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1,456511,309,G/A,103,ACC/ACT,T/T,Rv0380c,0,syn,nonessential,no
lineage1,469042,708,C/T,236,AAC/AAT,N/N,Rv0389,purT,syn,nonessential,no
lineage1,471666,974,A/G,325,ATG/ACG,M/T,Rv0392c,ndhA,nonsyn,nonessential,no
lineage1,485230,1254,C/T,418,CAC/CAT,H/H,Rv0404,fadD30,syn,essential,yes
lineage1,485785,55,T/G,19,TTG/GTG,L/V,Rv0405,pks6,nonsyn,nonessential,no
lineage1,492655,870,G/A,290,GCG/GCA,A/A,Rv0408,pta,syn,nonessential,no
lineage1,495473,1842,C/T,614,TCG/TCA,S/S,Rv0410c,pknG,syn,essential,no
lineage1,549251,357,C/T,119,TGG/TGA,W/*,Rv0457c,0,nonsyn,nonessential,no
lineage1,555945,362,T/C,121,CAG/CGG,Q/R,Rv0465c,0,nonsyn,nonessential,no
lineage1,556035,272,G/T,91,CCG/CAG,P/Q,Rv0465c,0,nonsyn,nonessential,no
lineage1,560664,777,C/T,259,AAC/AAT,N/N,Rv0469,umaA,syn,nonessential,no
lineage1,560666,779,A/G,260,AAA/AGA,K/R,Rv0469,umaA,nonsyn,nonessential,no
lineage1,564723,1160,C/T,387,ACG/ATG,T/M,Rv0473,0,nonsyn,nonessential,no
lineage1,568693,275,G/T,92,GCG/GAG,A/E,Rv0479c,0,nonsyn,essential,no
lineage1,580336,988,C/A,330,CGG/AGG,R/R,Rv0490,senX3,syn,essential,no
lineage1,591965,312,G/A,104,GCG/GCA,A/A,Rv0501,galE2,syn,nonessential,no
lineage1,595501,1085,G/A,362,GCG/GTG,A/V,Rv0505c,serB1,nonsyn,nonessential,no
lineage1,615938,1104,G/A,368,GAG/GAA,E/E,Rv0524,hemL,syn,essential,yes
lineage1,621390,484,G/A,162,GTC/ATC,V/I,Rv0530,0,nonsyn,nonessential,no
lineage1,627350,103,C/G,35,CCC/GCC,P/A,Rv0536,galE3,nonsyn,nonessential,no
lineage1,643483,595,G/A,199,GGT/AGT,G/S,Rv0552,0,nonsyn,nonessential,no
lineage1,646531,234,A/T,78,ACA/ACT,T/T,Rv0555,menD,syn,essential,no
lineage1,649345,810,C/T,270,GCC/GCT,A/A,Rv0557,mgtA,syn,essential,yes
lineage1,655707,243,G/A,81,GTC/GTT,V/V,Rv0564c,gpdA1,syn,nonessential,no
lineage1,678440,636,C/T,212,ACG/ACA,T/T,Rv0583c,lpqN,syn,nonessential,no
lineage1,685955,28,G/A,10,GCA/ACA,A/T,Rv0588,yrbE2B,nonsyn,essential,no
lineage1,704997,913,G/A,305,CAA/TAA,Q/*,Rv0610c,0,nonsyn,nonessential,no
lineage1,720863,870,G/T,290,GCC/GCA,A/A,Rv0629c,recD,syn,nonessential,no
lineage1,722852,2162,G/A,721,CCA/CTA,P/L,Rv0630c,recB,nonsyn,nonessential,no
lineage1,726498,1809,C/A,603,CTG/CTT,L/L,Rv0631c,recC,syn,nonessential,no
lineage1,730087,80,G/A,27,GCC/GTC,A/V,Rv0633c,0,nonsyn,nonessential,no
lineage1,734116,380,T/C,127,ATG/ACG,M/T,Rv0638,secE1,nonsyn,essential,no
lineage1,749968,0,T/C,0,./.,./.,0,0,inter,0,no
lineage1,752046,530,C/T,177,GCC/GTC,A/V,Rv0655,mkl,nonsyn,essential,no
lineage1,753668,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1,754387,23,G/A,8,ACC/ATC,T/I,Rv0658c,0,nonsyn,nonessential,no
lineage1,763884,515,C/T,172,GCC/GTC,A/V,Rv0668,rpoC,nonsyn,essential,no
lineage1,763886,517,C/A,173,CGG/AGG,R/R,Rv0668,rpoC,syn,essential,no
lineage1,767609,0,A/G,0,./.,./.,0,0,inter,0,no
lineage1,786137,0,A/C,0,./.,./.,0,0,inter,0,no
lineage1,797597,665,C/T,222,ACG/ATG,T/M,Rv0697,0,nonsyn,essential,no
lineage1,800357,0,C/A,0,./.,./.,0,0,inter,0,no
lineage1,810287,342,C/G,114,ACC/ACG,T/T,Rv0713,0,syn,nonessential,no
lineage1,811492,120,C/G,40,GTC/GTG,V/V,Rv0714,rplN,syn,essential,yes
lineage1,812502,444,C/T,148,GTC/GTT,V/V,Rv0716,rplE,syn,essential,no
lineage1,817696,171,G/A,57,TCC/TCT,S/S,Rv0724A,0,syn,nonessential,no
lineage1,819213,428,T/C,143,GAG/GGG,E/G,Rv0726c,0,nonsyn,nonessential,no
lineage1,829719,0,G/A,0,./.,./.,0,0,inter,0,no
lineage1,846996,838,G/A,280,GGG/AGG,G/R,Rv0754,PE_PGRS11,nonsyn,ND,no
lineage1,850985,482,A/G,161,ATA/ACA,I/T,Rv0756c,0,nonsyn,nonessential,no
lineage1,865761,1176,C/T,392,CAC/CAT,H/H,Rv0772,purD,syn,essential,yes
lineage1,885689,152,G/T,51,ACG/AAG,T/K,Rv0791c,0,nonsyn,nonessential,no
lineage1,895082,547,A/G,183,TTC/CTC,F/L,Rv0802c,0,nonsyn,nonessential,no
lineage1,895120,509,C/T,170,CGC/CAC,R/H,Rv0802c,0,nonsyn,nonessential,no
lineage1,910015,19,C/A,7,GCT/TCT,A/S,Rv0816c,thiX,nonsyn,nonessential,no
lineage1,952597,966,C/T,322,ATC/ATT,I/I,Rv0855,far,syn,nonessential,no
lineage1,976043,0,G/T,0,./.,./.,0,0,inter,0,no
lineage1,977196,1008,G/A,336,GGC/GGT,G/G,Rv0878c,PPE13,syn,ND,no
lineage1,987601,369,C/T,123,GGC/GGT,G/G,Rv0888,0,syn,nonessential,no
lineage1,996219,77,G/A,26,GCA/GTA,A/V,Rv0893c,0,nonsyn,nonessential,no
lineage1,1002342,74,T/C,25,TAC/TGC,Y/C,Rv0897c,0,nonsyn,nonessential,no
lineage1,1009490,547,C/A,183,CAA/AAA,Q/K,Rv0906,0,nonsyn,nonessential,no
lineage1,1022613,527,G/A,176,CGG/CAG,R/Q,Rv0917,betP,nonsyn,nonessential,no
lineage1,1027727,43,G/C,15,GCC/CCC,A/P,Rv0922,0,nonsyn,ND,no
lineage1,1029997,581,A/G,194,GTG/GCG,V/A,Rv0923c,0,nonsyn,nonessential,no
lineage1,1032524,110,T/C,37,GAC/GGC,D/G,Rv0925c,0,nonsyn,nonessential,no
lineage1,1043136,1022,C/T,341,ACC/ATC,T/I,Rv0934,pstS1,nonsyn,ND,no
lineage1,1048102,1967,G/A,656,CGC/CAC,R/H,Rv0938,ligD,nonsyn,nonessential,no
lineage1,1061386,269,T/C,90,GAG/GGG,E/G,Rv0950c,0,nonsyn,essential,no
lineage1,1063922,783,C/A,261,GGC/GGA,G/G,Rv0952,sucD,syn,essential,no
lineage1,1066038,912,A/G,304,TAA/TAG,*/*,Rv0954,0,syn,nonessential,no
lineage1,1072342,1088,A/G,363,GAC/GGC,D/G,Rv0959,0,nonsyn,nonessential,no
lineage1,1077754,82,C/T,28,GCG/ACG,A/T,Rv0966c,0,nonsyn,nonessential,no
lineage1,1083755,1996,A/G,666,TCA/CCA,S/P,Rv0973c,accA2,nonsyn,essential,no
lineage1,1086648,698,C/A,233,CGC/CTC,R/L,Rv0974c,accD2,nonsyn,nonessential,no
lineage1,1111518,1250,T/C,417,GTG/GCG,V/A,Rv0994,moeA1,nonsyn,nonessential,no
lineage1,1117405,221,C/T,74,ACT/ATT,T/I,Rv1001,arcA,nonsyn,nonessential,no
lineage1,1119739,201,C/T,67,CTG/CTA,L/L,Rv1002c,0,syn,essential,yes
lineage1,1139222,256,G/A,86,GCG/ACG,A/T,Rv1020,mfd,nonsyn,nonessential,no
lineage1,1155700,1977,C/T,659,ATC/ATT,I/I,Rv1030,kdpB,syn,nonessential,no
lineage1,1157771,185,G/C,62,TCC/TGC,S/C,Rv1032c,trcS,nonsyn,nonessential,no
lineage1,1184826,812,G/T,271,CGC/CTC,R/L,Rv1061,0,nonsyn,nonessential,no
lineage1,1192830,1444,G/A,482,CGG/TGG,R/W,Rv1069c,0,nonsyn,nonessential,no
lineage1,1199019,355,T/C,119,ACC/GCC,T/A,Rv1074c,fadA3,nonsyn,nonessential,no
lineage1,1228116,569,A/G,190,ATC/ACC,I/T,Rv1099c,glpX,nonsyn,essential,no
lineage1,1237403,790,G/A,264,CCC/TCC,P/S,Rv1111c,0,nonsyn,essential,no
lineage1,1262230,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1,1287160,0,A/C,0,./.,./.,0,0,inter,0,no
lineage1,1314617,893,C/T,298,GCT/GTT,A/V,Rv1180,pks3,nonsyn,nonessential,no
lineage1,1320508,474,G/A,158,GTG/GTA,V/V,Rv1182,papA3,syn,essential,yes
lineage1,1320614,580,C/G,194,CTG/GTG,L/V,Rv1182,papA3,nonsyn,essential,no
lineage1,1344857,313,C/T,105,GGC/AGC,G/S,Rv1201c,dapD,nonsyn,essential,no
lineage1,1356648,813,C/T,271,GAC/GAT,D/D,Rv1213,glgC,syn,nonessential,no
lineage1,1369389,907,C/T,303,GGC/AGC,G/S,Rv1226c,0,nonsyn,nonessential,no
lineage1,1369735,561,G/A,187,TAC/TAT,Y/Y,Rv1226c,0,syn,nonessential,no
lineage1,1374578,287,C/T,96,CGT/CAT,R/H,Rv1231c,0,nonsyn,nonessential,no
lineage1,1374639,226,T/A,76,AAT/TAT,N/Y,Rv1231c,0,nonsyn,nonessential,no
lineage1,1387211,355,G/A,119,GCA/ACA,A/T,Rv1244,lpqZ,nonsyn,essential,no
lineage1,1389866,3187,C/T,1063,GGC/AGC,G/S,Rv1248c,0,nonsyn,essential,no
lineage1,1397215,2026,C/G,676,GGC/CGC,G/R,Rv1251c,0,nonsyn,nonessential,no
lineage1,1417019,329,C/T,110,TGC/TAC,C/Y,Rv1267c,embR,nonsyn,nonessential,no
lineage1,1417793,564,G/A,188,ACC/ACT,T/T,Rv1268c,0,syn,nonessential,no
lineage1,1426928,765,C/T,255,TTC/TTT,F/F,Rv1277,0,syn,nonessential,no
lineage1,1443354,588,C/T,196,GCC/GCT,A/A,Rv1289,0,syn,nonessential,no
lineage1,1445977,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1,1481602,900,T/G,300,CGA/CGC,R/R,Rv1319c,0,syn,nonessential,no
lineage1,1514010,964,G/T,322,GTC/TTC,V/F,Rv1348,irtA,nonsyn,essential,no
lineage1,1521526,351,T/C,117,GAA/GAG,E/E,Rv1354c,0,syn,nonessential,no
lineage1,1522862,1171,C/T,391,GTT/ATT,V/I,Rv1355c,moeY,nonsyn,nonessential,no
lineage1,1525160,0,G/A,0,./.,./.,0,0,inter,0,no
lineage1,1534548,63,G/A,21,ATC/ATT,I/I,Rv1362c,0,syn,nonessential,no
lineage1,1535643,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1,1560912,468,G/A,156,GAG/GAA,E/E,Rv1385,pyrF,syn,nonessential,no
lineage1,1563686,0,G/T,0,./.,./.,0,0,inter,0,no
lineage1,1568178,1410,C/T,470,CCG/CCA,P/P,Rv1393c,0,syn,nonessential,no
lineage1,1575793,17,A/G,6,GTC/GCC,V/A,Rv1399c,nlhH,nonsyn,nonessential,no
lineage1,1580181,242,G/A,81,CCC/CTC,P/L,Rv1403c,0,nonsyn,nonessential,no
lineage1,1581377,593,C/T,198,GGC/GAC,G/D,Rv1405c,0,nonsyn,essential,no
lineage1,1589739,354,C/T,118,GGC/GGT,G/G,Rv1413,0,syn,nonessential,no
lineage1,1590555,159,C/T,53,ACC/ACT,T/T,Rv1415,ribA2,syn,essential,yes
lineage1,1601528,794,C/T,265,TGC/TAC,C/Y,Rv1426c,lipO,nonsyn,nonessential,no
lineage1,1604290,470,A/T,157,GTC/GAC,V/D,Rv1428c,0,nonsyn,nonessential,no
lineage1,1616831,0,A/G,0,./.,./.,0,0,inter,0,no
lineage1,1617833,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1,1625259,107,A/C,36,ATC/AGC,I/S,Rv1446c,opcA,nonsyn,essential,no
lineage1,1647830,842,G/A,281,GGC/GAC,G/D,Rv1461,0,nonsyn,ND,no
lineage1,1658535,1573,G/T,525,GTT/TTT,V/F,Rv1469,ctpD,nonsyn,essential,no
lineage1,1659902,140,T/C,47,GTC/GCC,V/A,Rv1472,echA12,nonsyn,nonessential,no
lineage1,1691520,671,T/G,224,CTA/CGA,L/R,Rv1500,0,nonsyn,nonessential,no
lineage1,1718444,792,T/C,264,CGT/CGC,R/R,Rv1523,0,syn,nonessential,no
lineage1,1721490,571,C/G,191,GCG/CCG,A/P,Rv1526c,0,nonsyn,nonessential,no
lineage1,1728615,0,A/C,0,./.,./.,0,0,inter,0,no
lineage1,1731563,191,A/T,64,CAC/CTC,H/L,Rv1530,adh,nonsyn,nonessential,no
lineage1,1735903,0,A/G,0,./.,./.,0,0,inter,0,no
lineage1,1739390,2872,A/G,958,ACT/GCT,T/A,Rv1536,ileS,nonsyn,nonessential,no
lineage1,1745446,383,T/A,128,CTC/CAC,L/H,Rv1543,0,nonsyn,nonessential,no
lineage1,1754299,584,A/C,195,GAG/GCG,E/A,Rv1550,fadD11,nonsyn,nonessential,no
lineage1,1754983,1268,C/T,423,GCG/GTG,A/V,Rv1550,fadD11,nonsyn,nonessential,no
lineage1,1758790,1110,C/T,370,CCC/CCT,P/P,Rv1552,frdA,syn,nonessential,no
lineage1,1791823,254,T/C,85,TTG/TCG,L/S,Rv1591,0,nonsyn,nonessential,no
lineage1,1826343,243,C/T,81,CGG/CGA,R/R,Rv1624c,0,syn,nonessential,no
lineage1,1826624,1322,G/A,441,GCA/GTA,A/V,Rv1625c,cya,nonsyn,nonessential,no
lineage1,1827553,393,C/G,131,TTG/TTC,L/F,Rv1625c,cya,nonsyn,nonessential,no
lineage1,1829576,498,C/T,166,GAG/GAA,E/E,Rv1627c,0,syn,nonessential,no
lineage1,1832642,1978,G/T,660,GGC/TGC,G/C,Rv1629,polA,nonsyn,essential,no
lineage1,1832643,1979,G/C,660,GGC/GCC,G/A,Rv1629,polA,nonsyn,essential,no
lineage1,1839329,162,G/A,54,CGG/CGA,R/R,Rv1634,0,syn,nonessential,no
lineage1,1848147,312,C/A,104,GTG/GTT,V/V,Rv1639c,0,syn,nonessential,no
lineage1,1849191,2845,T/C,949,ATT/GTT,I/V,Rv1640c,lysX,nonsyn,essential,no
lineage1,1853974,369,C/T,123,GGC/GGT,G/G,Rv1644,tsnR,syn,nonessential,no
lineage1,1859989,232,C/T,78,CGG/TGG,R/W,Rv1650,pheT,nonsyn,essential,no
lineage1,1863660,1723,C/T,575,GGC/AGC,G/S,Rv1651c,PE_PGRS30,nonsyn,ND,no
lineage1,1873954,1316,G/T,439,CGC/CTC,R/L,Rv1659,argH,nonsyn,essential,no
lineage1,1876739,1436,T/G,479,GTG/GGG,V/G,Rv1661,pks7,nonsyn,essential,no
lineage1,1886263,4560,C/G,1520,CAC/CAG,H/Q,Rv1662,pks8,nonsyn,essential,no
lineage1,1887284,773,G/A,258,CGG/CAG,R/Q,Rv1663,pks17,nonsyn,essential,no
lineage1,1897646,562,G/C,188,CCT/GCT,P/A,Rv1672c,0,nonsyn,nonessential,no
lineage1,1902156,409,G/A,137,GGG/AGG,G/R,Rv1677,dsbF,nonsyn,nonessential,no
lineage1,1907177,775,C/T,259,CGG/TGG,R/W,Rv1682,0,nonsyn,nonessential,no
lineage1,1923985,157,G/A,53,GTC/ATC,V/I,Rv1699,pyrG,nonsyn,essential,no
lineage1,1940307,20,G/T,7,TGG/TTG,W/L,Rv1713,engA,nonsyn,essential,no
lineage1,1956930,316,T/G,106,ACT/CCT,T/P,Rv1730c,0,nonsyn,essential,no
lineage1,1963383,804,G/A,268,TAC/TAT,Y/Y,Rv1736c,narX,syn,nonessential,no
lineage1,1978807,761,G/T,254,GCC/GAC,A/D,Rv1750c,fadD1,nonsyn,nonessential,no
lineage1,1979026,542,C/T,181,AGC/AAC,S/N,Rv1750c,fadD1,nonsyn,nonessential,no
lineage1,1989370,329,C/T,110,CCC/CTC,P/L,Rv1758,cut1,nonsyn,nonessential,no
lineage1,2013943,537,G/C,179,GAC/GAG,D/E,Rv1779c,0,nonsyn,nonessential,no
lineage1,2017560,0,A/T,0,./.,./.,0,0,inter,0,no
lineage1,2023211,3955,G/T,1319,GTC/TTC,V/F,Rv1783,eccC5,nonsyn,nonessential,no
lineage1,2028967,543,A/C,181,GCA/GCC,A/A,Rv1790,PPE27,syn,ND,no
lineage1,2035937,455,G/A,152,CGC/CAC,R/H,Rv1797,eccE5,nonsyn,nonessential,no
lineage1,2045849,994,C/T,332,GCG/ACG,A/T,Rv1803c,PE_PGRS32,nonsyn,ND,no
lineage1,2066471,15,T/C,5,GGT/GGC,G/G,Rv1821,secA2,syn,essential,no
lineage1,2083124,1513,T/C,505,AGC/GGC,S/G,Rv1836c,0,nonsyn,nonessential,no
lineage1,2090306,413,G/A,138,CCG/CTG,P/L,Rv1841c,0,nonsyn,nonessential,no
lineage1,2092391,1308,G/T,436,ATC/ATA,I/I,Rv1843c,guaB1,syn,nonessential,no
lineage1,2092970,729,C/T,243,CTG/CTA,L/L,Rv1843c,guaB1,syn,nonessential,no
lineage1,2096094,75,C/T,25,ACG/ACA,T/T,Rv1845c,blaR,syn,nonessential,no
lineage1,2096430,170,A/C,57,CTC/CGC,L/R,Rv1846c,blaI,nonsyn,nonessential,no
lineage1,2104779,45,C/T,15,GGG/GGA,G/G,Rv1856c,0,syn,nonessential,no
lineage1,2132062,268,C/A,90,GGG/TGG,G/W,Rv1881c,lppE,nonsyn,nonessential,no
lineage1,2138767,251,G/C,84,GCC/GGC,A/G,Rv1889c,0,nonsyn,nonessential,no
lineage1,2165256,2056,T/G,686,AGC/CGC,S/R,Rv1917c,PPE34,nonsyn,ND,no
lineage1,2177968,882,G/T,294,GCG/GCT,A/A,Rv1925,fadD31,syn,nonessential,no
lineage1,2185358,831,G/A,277,ACC/ACT,T/T,Rv1934c,fadE17,syn,nonessential,no
lineage1,2216370,1114,G/C,372,GGC/CGC,G/R,Rv1971,mce3F,nonsyn,nonessential,no
lineage1,2218488,437,G/C,146,AGC/ACC,S/T,Rv1975,0,nonsyn,nonessential,no
lineage1,2237497,79,G/C,27,CTG/GTG,L/V,Rv1993c,0,nonsyn,nonessential,no
lineage1,2238930,0,A/C,0,./.,./.,0,0,inter,0,no
lineage1,2239055,52,C/T,18,CCC/TCC,P/S,Rv1996,0,nonsyn,nonessential,no
lineage1,2240062,0,C/G,0,./.,./.,0,0,inter,0,no
lineage1,2241646,1488,C/T,496,GCC/GCT,A/A,Rv1997,ctpF,syn,nonessential,no
lineage1,2242808,2650,G/A,884,GCG/ACG,A/T,Rv1997,ctpF,nonsyn,nonessential,no
lineage1,2249035,386,A/G,129,ATG/ACG,M/T,Rv2003c,0,nonsyn,nonessential,no
lineage1,2255942,3941,G/T,1314,CGG/CTG,R/L,Rv2006,otsB1,nonsyn,nonessential,no
lineage1,2297766,9221,G/A,3074,GCC/GTC,A/V,Rv2048c,pks12,nonsyn,essential,no
lineage1,2309356,1400,G/A,467,ACT/ATT,T/I,Rv2051c,ppm1,nonsyn,nonessential,no
lineage1,2321358,302,G/C,101,CGC/CCC,R/P,Rv2063A,mazF7,nonsyn,nonessential,no
lineage1,2331255,263,C/T,88,GCG/GTG,A/V,Rv2074,0,nonsyn,nonessential,no
lineage1,2335500,146,C/G,49,GCC/GGC,A/G,Rv2079,0,nonsyn,nonessential,no
lineage1,2348482,1110,G/T,370,GAG/GAT,E/D,Rv2090,0,nonsyn,nonessential,no
lineage1,2374442,609,G/A,203,TCG/TCA,S/S,Rv2114,0,syn,nonessential,no
lineage1,2397760,431,C/G,144,GCA/GGA,A/G,Rv2138,lppL,nonsyn,essential,no
lineage1,2400031,298,G/A,100,CGC/TGC,R/C,Rv2140c,TB18.6,nonsyn,nonessential,no
lineage1,2425097,1991,A/C,664,GTC/GGC,V/G,Rv2163c,pbpB,nonsyn,essential,no
lineage1,2448288,129,G/A,43,TGG/TGA,W/*,Rv2187,fadD15,nonsyn,nonessential,no
lineage1,2450045,1106,G/A,369,ACG/ATG,T/M,Rv2188c,pimB,nonsyn,essential,no
lineage1,2451081,70,C/G,24,GAG/CAG,E/Q,Rv2188c,pimB,nonsyn,essential,no
lineage1,2470485,0,G/T,0,./.,./.,0,0,inter,0,no
lineage1,2500892,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1,2503549,1060,C/A,354,GCG/TCG,A/S,Rv2230c,0,nonsyn,nonessential,no
lineage1,2508395,759,G/A,253,CCG/CCA,P/P,Rv2235,0,syn,essential,no
lineage1,2509181,195,C/G,65,GTG/GTC,V/V,Rv2236c,cobD,syn,nonessential,no
lineage1,2528931,45,G/A,15,AAC/AAT,N/N,Rv2254c,0,syn,nonessential,no
lineage1,2530434,389,G/T,130,CCC/CAC,P/H,Rv2257c,0,nonsyn,nonessential,no
lineage1,2538793,94,G/A,32,GGC/AGC,G/S,Rv2265,0,nonsyn,nonessential,no
lineage1,2544979,282,T/A,94,CAT/CAA,H/Q,Rv2270,lppN,nonsyn,nonessential,no
lineage1,2547274,392,A/G,131,GAT/GGT,D/G,Rv2275,0,nonsyn,essential,no
lineage1,2553682,510,C/T,170,TAC/TAT,Y/Y,Rv2281,pitB,syn,nonessential,no
lineage1,2569593,512,A/G,171,CAT/CGT,H/R,Rv2298,0,nonsyn,nonessential,no
lineage1,2573434,420,G/T,140,TGG/TGT,W/C,Rv2301,cut2,nonsyn,nonessential,no
lineage1,2574598,422,C/T,141,AGC/AAC,S/N,Rv2303c,0,nonsyn,nonessential,no
lineage1,2582324,0,G/A,0,./.,./.,0,0,inter,0,no
lineage1,2602575,887,G/A,296,CCG/CTG,P/L,Rv2329c,narK1,nonsyn,nonessential,no
lineage1,2611704,868,A/C,290,AGA/CGA,R/R,Rv2336,0,syn,nonessential,no
lineage1,2622508,1245,C/T,415,TTG/TTA,L/L,Rv2344c,dgt,syn,nonessential,no
lineage1,2637088,0,C/T,0,./.,./.,0,0,inter,0,no
lineage1,2643653,606,G/A,202,GGC/GGT,G/G,Rv2362c,recO,syn,nonessential,no
lineage1,2652908,1080,C/G,360,GAG/GAC,E/D,Rv2373c,dnaJ2,nonsyn,essential,no
lineage1,2663210,3906,G/A,1302,GCC/GCT,A/A,Rv2380c,mbtE,syn,nonessential,no
lineage1,2688225,216,G/C,72,ATG/ATC,M/I,Rv2394,ggtB,nonsyn,nonessential,no
