Chrom	Start	End	Strand	H37rv_GeneID	Symbol	Feature	ExcludedGroup_Category	PEandPPE_Subfamily	Product	Functional_Category	Is_Pseudogene	Mean_EBR_36CI	gene_PercentPerfect_EBR_36CI	gene_ProportionWith_NANs_EBR_36CI	gene_GC_Content	Mean_PileupMapScore_K50_E4	Mean_PileupMapScore_K100_E4	Mean_PileupMapScore_K125_E4	Length
NC_000962.3	14088	14877	+	Rv0012	Rv0012	CDS	NotExcluded	None	Probable conserved membrane protein	cell wall and cell processes	No	1.0	100.0	0.0	64.76552598225602	1.0	1.0	1.0	789
NC_000962.3	14913	15612	+	Rv0013	trpG	CDS	NotExcluded	None	Possible anthranilate synthase component II TrpG (glutamine amidotransferase)	intermediary metabolism and respiration	No	1.0	100.0	0.0	63.94849785407725	1.0	1.0	1.0	699
NC_000962.3	15589	17470	-	Rv0014c	pknB	CDS	NotExcluded	None	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)	regulatory proteins	No	1.0	100.0	0.0	63.264221158958	1.0	1.0	1.0	1881
NC_000962.3	17466	18762	-	Rv0015c	pknA	CDS	NotExcluded	None	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)	regulatory proteins	No	0.9997427983539093	99.22839506172839	0.0	67.66975308641975	1.0	1.0	1.0	1296
NC_000962.3	18758	20234	-	Rv0016c	pbpA	CDS	NotExcluded	None	Probable penicillin-binding protein PbpA	cell wall and cell processes	No	0.9997929840409514	99.25474254742548	0.0	64.49864498644986	1.0	1.0	1.0	1476
NC_000962.3	20230	21640	-	Rv0017c	rodA	CDS	NotExcluded	None	Probable cell division protein RodA	cell wall and cell processes	No	0.999074074074074	96.66666666666667	0.0	62.12765957446808	1.0	1.0	1.0	1410
NC_000962.3	21636	23181	-	Rv0018c	pstP	CDS	NotExcluded	None	Phosphoserine/threonine phosphatase PstP	regulatory proteins	No	0.9992268967997124	97.41100323624595	0.0	67.57281553398059	0.9997432577734627	1.0	1.0	1545
NC_000962.3	23269	23737	-	Rv0019c	fhaB	CDS	NotExcluded	None	Conserved protein with FHA domain, FhaB	regulatory proteins	No	1.0	100.0	0.0	63.034188034188034	1.0	1.0	1.0	468
NC_000962.3	23860	25444	-	Rv0020c	fhaA	CDS	NotExcluded	None	Conserved protein with FHA domain, FhaA	regulatory proteins	No	0.9934939674523007	97.03282828282829	0.0	66.3510101010101	1.0	1.0	1.0	1584
NC_000962.3	25643	25726	+	MTB000003	leuT	tRNA	NotExcluded	None	tRNA-Leu (CAG)	stable RNAs	No	1.0	100.0	0.0	67.46987951807229	1.0	1.0	1.0	83
NC_000962.3	25912	26881	-	Rv0021c	Rv0021c	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	0.9999713335626648	99.89680082559339	0.0	66.04747162022704	1.0	1.0	1.0	969
NC_000962.3	27022	27442	-	Rv0022c	whiB5	CDS	NotExcluded	None	Probable transcriptional regulatory protein WhiB-like WhiB5	regulatory proteins	No	1.0	100.0	0.0	68.33333333333333	1.0	1.0	1.0	420
NC_000962.3	27594	28365	+	Rv0023	Rv0023	CDS	NotExcluded	None	Possible transcriptional regulatory protein	regulatory proteins	No	0.9996757457846952	98.83268482490273	0.0	67.31517509727627	1.0	1.0	1.0	771
NC_000962.3	28361	29207	+	Rv0024	Rv0024	CDS	NotExcluded	None	Putative secreted protein P60-related protein	virulence, detoxification, adaptation	No	1.0	100.0	0.0	69.03073286052009	1.0	1.0	1.0	846
NC_000962.3	29244	29607	+	Rv0025	Rv0025	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	65.2892561983471	1.0	1.0	1.0	363
NC_000962.3	29721	31068	+	Rv0026	Rv0026	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	65.10764662212324	1.0	1.0	1.0	1347
NC_000962.3	31188	31506	+	Rv0027	Rv0027	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	62.893081761006286	1.0	1.0	1.0	318
NC_000962.3	31513	31819	+	Rv0028	Rv0028	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	63.72549019607843	1.0	1.0	1.0	306
NC_000962.3	32056	33154	+	Rv0029	Rv0029	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	66.12021857923497	1.0	1.0	1.0	1098
NC_000962.3	33223	33553	+	Rv0030	Rv0030	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	65.45454545454545	1.0	1.0	1.0	330
NC_000962.3	33581	33794	+	Rv0031	Rv0031	CDS	InsertionSeqs_And_Phages	None	Possible remnant of a transposase	insertion seqs and phages	No	1.0	100.0	0.0	66.66666666666667	1.0	1.0	1.0	213
NC_000962.3	34294	36610	+	Rv0032	bioF2	CDS	NotExcluded	None	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)	intermediary metabolism and respiration	No	0.9992323930147764	98.53195164075993	0.0	62.04663212435233	1.0	1.0	1.0	2316
NC_000962.3	36606	36870	+	Rv0033	acpA	CDS	NotExcluded	None	Probable acyl carrier protein AcpA (ACP)	lipid metabolism	No	1.0	100.0	0.0	56.81818181818182	1.0	1.0	1.0	264
NC_000962.3	36866	37262	+	Rv0034	Rv0034	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	65.65656565656566	1.0	1.0	1.0	396
NC_000962.3	37258	38947	+	Rv0035	fadD34	CDS	NotExcluded	None	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	lipid metabolism	No	1.0	100.0	0.0	63.58792184724689	1.0	1.0	1.0	1689
NC_000962.3	39055	39829	-	Rv0036c	Rv0036c	CDS	NotExcluded	None	Conserved protein	conserved hypotheticals	No	1.0	100.0	0.0	68.73385012919897	1.0	1.0	1.0	774
NC_000962.3	39876	41202	-	Rv0037c	Rv0037c	CDS	NotExcluded	None	Probable conserved integral membrane protein	cell wall and cell processes	No	1.0	100.0	0.0	67.72247360482655	1.0	1.0	1.0	1326
NC_000962.3	41303	41912	+	Rv0038	Rv0038	CDS	NotExcluded	None	Conserved protein	conserved hypotheticals	No	1.0	100.0	0.0	65.35303776683087	1.0	1.0	1.0	609
NC_000962.3	42003	42351	-	Rv0039c	Rv0039c	CDS	NotExcluded	None	Possible conserved transmembrane protein	cell wall and cell processes	No	1.0	100.0	0.0	71.83908045977012	1.0	1.0	1.0	348
NC_000962.3	42432	43365	-	Rv0040c	mtc28	CDS	NotExcluded	None	Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)	cell wall and cell processes	No	1.0	100.0	0.0	67.52411575562701	1.0	1.0	1.0	933
NC_000962.3	43561	46471	+	Rv0041	leuS	CDS	NotExcluded	None	Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)	information pathways	No	1.0	100.0	0.0	62.955326460481096	1.0	1.0	1.0	2910
NC_000962.3	46580	47207	-	Rv0042c	Rv0042c	CDS	NotExcluded	None	Possible transcriptional regulatory protein (probably MarR-family)	regulatory proteins	No	1.0	100.0	0.0	63.79585326953748	1.0	1.0	1.0	627
NC_000962.3	47365	48100	-	Rv0043c	Rv0043c	CDS	NotExcluded	None	Probable transcriptional regulatory protein (probably GntR-family)	regulatory proteins	No	1.0	100.0	0.0	63.673469387755105	1.0	1.0	1.0	735
NC_000962.3	48232	49027	-	Rv0044c	Rv0044c	CDS	NotExcluded	None	Possible oxidoreductase	intermediary metabolism and respiration	No	0.9968553459119497	88.67924528301887	0.0	66.54088050314465	1.0	1.0	1.0	795
NC_000962.3	49042	49939	-	Rv0045c	Rv0045c	CDS	NotExcluded	None	Possible hydrolase	lipid metabolism	No	1.0	100.0	0.0	67.11259754738016	1.0	1.0	1.0	897
NC_000962.3	50020	51124	-	Rv0046c	ino1	CDS	NotExcluded	None	myo-inositol-1-phosphate synthase Ino1 (inositol 1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)	intermediary metabolism and respiration	No	1.0	100.0	0.0	63.94927536231884	1.0	1.0	1.0	1104
NC_000962.3	51184	51727	-	Rv0047c	Rv0047c	CDS	NotExcluded	None	Conserved protein	conserved hypotheticals	No	1.0	100.0	0.0	66.48250460405157	1.0	1.0	1.0	543
NC_000962.3	51827	52697	-	Rv0048c	Rv0048c	CDS	NotExcluded	None	Possible membrane protein	cell wall and cell processes	No	1.0	100.0	0.0	65.86206896551724	1.0	1.0	1.0	870
NC_000962.3	52830	53244	+	Rv0049	Rv0049	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	66.66666666666667	1.0	1.0	1.0	414
NC_000962.3	53662	55699	+	Rv0050	ponA1	CDS	NotExcluded	None	Probable bifunctional penicillin-binding protein 1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)	cell wall and cell processes	No	0.9933453335515191	94.50171821305841	0.0	63.328424153166424	1.0	1.0	1.0	2037
NC_000962.3	55695	57378	+	Rv0051	Rv0051	CDS	NotExcluded	None	Probable conserved transmembrane protein	cell wall and cell processes	No	1.0	100.0	0.0	64.52762923351159	1.0	1.0	1.0	1683
NC_000962.3	57409	57973	+	Rv0052	Rv0052	CDS	NotExcluded	None	Conserved protein	conserved hypotheticals	No	1.0	100.0	0.0	65.95744680851064	1.0	1.0	1.0	564
NC_000962.3	58191	58482	+	Rv0053	rpsF	CDS	NotExcluded	None	30S ribosomal protein S6 RpsF	information pathways	No	1.0	100.0	0.0	60.13745704467354	1.0	1.0	1.0	291
NC_000962.3	58585	59080	+	Rv0054	ssb	CDS	NotExcluded	None	Single-strand binding protein Ssb (helix-destabilizing protein)	information pathways	No	0.9998316498316497	99.39393939393939	0.0	66.66666666666667	1.0	1.0	1.0	495
NC_000962.3	59121	59376	+	Rv0055	rpsR1	CDS	NotExcluded	None	30S ribosomal protein S18-1 RpsR1	information pathways	No	1.0	100.0	0.0	64.70588235294117	1.0	1.0	1.0	255
NC_000962.3	59408	59867	+	Rv0056	rplI	CDS	NotExcluded	None	50S ribosomal protein L9 RplI	information pathways	No	1.0	100.0	0.0	62.091503267973856	1.0	1.0	1.0	459
NC_000962.3	59895	60417	+	Rv0057	Rv0057	CDS	NotExcluded	None	Hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	60.727969348659	1.0	1.0	1.0	522
NC_000962.3	60395	63020	+	Rv0058	dnaB	CDS	NotExcluded	None	Probable replicative DNA helicase DnaB	information pathways	No	0.9999365079365078	99.77142857142857	0.0	62.819047619047616	1.0	1.0	1.0	2625
NC_000962.3	63199	63892	+	Rv0059	Rv0059	CDS	NotExcluded	None	Hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	61.904761904761905	1.0	1.0	1.0	693
NC_000962.3	63908	64967	+	Rv0060	Rv0060	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	60.05665722379604	1.0	1.0	1.0	1059
NC_000962.3	65011	65350	-	Rv0061c	Rv0061c	CDS	NotExcluded	None	Hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	62.24188790560472	1.0	1.0	1.0	339
NC_000962.3	65551	66694	+	Rv0062	celA1	CDS	NotExcluded	None	Possible cellulase CelA1 (endoglucanase) (endo-1,4-beta-glucanase) (FI-cmcase) (carboxymethyl cellulase)	intermediary metabolism and respiration	No	0.9993681345387383	97.72528433945756	0.0	68.24146981627297	1.0	1.0	1.0	1143
NC_000962.3	66922	68362	+	Rv0063	Rv0063	CDS	NotExcluded	None	Possible oxidoreductase	intermediary metabolism and respiration	No	1.0	100.0	0.0	67.22222222222223	1.0	1.0	1.0	1440
NC_000962.3	68619	71559	+	Rv0064	Rv0064	CDS	NotExcluded	None	Probable conserved transmembrane protein	cell wall and cell processes	No	0.9942743764172335	92.38095238095238	0.0	63.673469387755105	1.0	1.0	1.0	2940
NC_000962.3	71588	71828	+	Rv0064A	vapB1	CDS	NotExcluded	None	Possible antitoxin VapB1	virulence, detoxification, adaptation	No	1.0	100.0	0.0	64.16666666666667	1.0	1.0	1.0	240
NC_000962.3	71820	72222	+	Rv0065	vapC1	CDS	NotExcluded	None	Possible toxin VapC1	virulence, detoxification, adaptation	No	1.0	100.0	0.0	62.43781094527363	1.0	1.0	1.0	402
NC_000962.3	72273	74511	-	Rv0066c	icd2	CDS	NotExcluded	None	Probable isocitrate dehydrogenase [NADP] Icd2 (oxalosuccinate decarboxylase) (IDH) (NADP+-specific ICDH) (IDP)	intermediary metabolism and respiration	No	1.0	100.0	0.0	61.79624664879356	1.0	1.0	1.0	2238
NC_000962.3	74628	75198	-	Rv0067c	Rv0067c	CDS	NotExcluded	None	Possible transcriptional regulatory protein (possibly TetR-family)	regulatory proteins	No	1.0	100.0	0.0	65.08771929824562	1.0	1.0	1.0	570
NC_000962.3	75300	76212	+	Rv0068	Rv0068	CDS	NotExcluded	None	Probable oxidoreductase	intermediary metabolism and respiration	No	1.0	100.0	0.0	65.78947368421052	1.0	1.0	1.0	912
NC_000962.3	76236	77622	-	Rv0069c	sdaA	CDS	NotExcluded	None	Probable L-serine dehydratase SdaA (L-serine deaminase) (SDH) (L-SD)	intermediary metabolism and respiration	No	1.0	100.0	0.0	65.07936507936508	1.0	1.0	1.0	1386
NC_000962.3	77618	78896	-	Rv0070c	glyA2	CDS	NotExcluded	None	Serine hydroxymethyltransferase GlyA2 (serine methylase 2) (SHMT 2)	intermediary metabolism and respiration	No	1.0	100.0	0.0	66.1189358372457	1.0	1.0	1.0	1278
NC_000962.3	79485	80193	+	Rv0071	Rv0071	CDS	NotExcluded	None	Possible maturase	information pathways	No	0.8509102322661644	8.615819209039548	0.0	64.68926553672317	0.979595100282486	0.9994491525423729	0.9995593220338983	708
NC_000962.3	80623	81673	+	Rv0072	Rv0072	CDS	NotExcluded	None	Probable glutamine-transport transmembrane protein ABC transporter	cell wall and cell processes	No	0.8333333333333334	0.0	0.0	61.714285714285715	1.0	1.0	1.0	1050
NC_000962.3	81675	82668	+	Rv0073	Rv0073	CDS	NotExcluded	None	Probable glutamine-transport ATP-binding protein ABC transporter	cell wall and cell processes	No	0.8333333333333334	0.0	0.0	62.63846928499496	0.9647532729103726	1.0	1.0	993
NC_000962.3	82747	83983	+	Rv0074	Rv0074	CDS	NotExcluded	None	Conserved protein	conserved hypotheticals	No	0.9610526788924847	76.29449838187702	0.0	66.01941747572816	1.0	1.0	1.0	1236
NC_000962.3	83995	85168	+	Rv0075	Rv0075	CDS	NotExcluded	None	Probable aminotransferase	intermediary metabolism and respiration	No	0.9999052761201099	99.65899403239557	0.0	64.10912190963342	1.0	1.0	1.0	1173
NC_000962.3	85182	85572	-	Rv0076c	Rv0076c	CDS	NotExcluded	None	Probable membrane protein	cell wall and cell processes	No	1.0	100.0	0.0	62.30769230769231	1.0	1.0	1.0	390
NC_000962.3	85635	86466	-	Rv0077c	Rv0077c	CDS	NotExcluded	None	Probable oxidoreductase	intermediary metabolism and respiration	No	1.0	100.0	0.0	66.18531889290011	1.0	1.0	1.0	831
NC_000962.3	86527	87133	+	Rv0078	Rv0078	CDS	NotExcluded	None	Probable transcriptional regulatory protein	regulatory proteins	No	0.9979831316464981	96.36963696369637	0.0	67.98679867986799	1.0	1.0	1.0	606
NC_000962.3	87207	87801	-	Rv0078A	Rv0078A	CDS	NotExcluded	None	Hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	61.111111111111114	1.0	1.0	1.0	594
NC_000962.3	87797	88004	-	Rv0078B	Rv0078B	CDS	NotExcluded	None	Conserved protein	conserved hypotheticals	No	1.0	100.0	0.0	62.31884057971015	1.0	1.0	1.0	207
NC_000962.3	88203	89025	+	Rv0079	Rv0079	CDS	NotExcluded	None	Unknown protein	conserved hypotheticals	No	0.9995268991619356	98.29683698296837	0.0	68.1265206812652	1.0	1.0	1.0	822
NC_000962.3	89021	89480	+	Rv0080	Rv0080	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	68.84531590413944	1.0	1.0	1.0	459
NC_000962.3	89574	89919	+	Rv0081	Rv0081	CDS	NotExcluded	None	Probable transcriptional regulatory protein	regulatory proteins	No	1.0	100.0	0.0	65.5072463768116	1.0	1.0	1.0	345
NC_000962.3	89923	90403	+	Rv0082	Rv0082	CDS	NotExcluded	None	Probable oxidoreductase	intermediary metabolism and respiration	No	0.9981481481481481	93.33333333333333	0.0	69.79166666666667	1.0	1.0	1.0	480
NC_000962.3	90399	92322	+	Rv0083	Rv0083	CDS	NotExcluded	None	Probable oxidoreductase	intermediary metabolism and respiration	No	0.9984110475530131	96.56786271450858	0.0	71.19084763390535	1.0	1.0	1.0	1923
NC_000962.3	92327	93278	+	Rv0084	hycD	CDS	NotExcluded	None	Possible formate hydrogenlyase HycD (FHL)	intermediary metabolism and respiration	No	0.999211356466877	97.16088328075709	0.0	68.55941114616193	1.0	1.0	1.0	951
NC_000962.3	93288	93951	+	Rv0085	hycP	CDS	NotExcluded	None	Possible hydrogenase HycP	intermediary metabolism and respiration	No	1.0	100.0	0.0	68.92911010558069	1.0	1.0	1.0	663
NC_000962.3	93950	95417	+	Rv0086	hycQ	CDS	NotExcluded	None	Possible hydrogenase HycQ	intermediary metabolism and respiration	No	1.0	100.0	0.0	68.9161554192229	1.0	1.0	1.0	1467
NC_000962.3	95413	96892	+	Rv0087	hycE	CDS	NotExcluded	None	Possible formate hydrogenase HycE (FHL)	intermediary metabolism and respiration	No	1.0	100.0	0.0	66.80189317106152	1.0	1.0	1.0	1479
NC_000962.3	96926	97601	+	Rv0088	Rv0088	CDS	NotExcluded	None	Possible polyketide cyclase/dehydrase	lipid metabolism	No	0.9990123456790124	96.44444444444444	0.0	61.77777777777778	1.0	1.0	1.0	675
NC_000962.3	97757	98351	+	Rv0089	Rv0089	CDS	NotExcluded	None	Possible methyltransferase/methylase	intermediary metabolism and respiration	No	1.0	100.0	0.0	67.003367003367	1.0	1.0	1.0	594
NC_000962.3	98479	99250	+	Rv0090	Rv0090	CDS	NotExcluded	None	Possible membrane protein	cell wall and cell processes	No	1.0	100.0	0.0	65.6290531776913	1.0	1.0	1.0	771
NC_000962.3	99683	100451	+	Rv0091	mtn	CDS	NotExcluded	None	Probable bifunctional MTA/SAH nucleosidase Mtn: 5'-methylthioadenosine nucleosidase (methylthioadenosine methylthioribohydrolase) + S-adenosylhomocysteine nucleosidase (S-adenosyl-L-homocysteine homocysteinylribohydrolase)	intermediary metabolism and respiration	No	1.0	100.0	0.0	65.10416666666667	1.0	1.0	1.0	768
NC_000962.3	100582	102868	+	Rv0092	ctpA	CDS	NotExcluded	None	Cation transporter P-type ATPase a CtpA	cell wall and cell processes	No	1.0	100.0	0.0	67.54155730533684	1.0	1.0	1.0	2286
NC_000962.3	102814	103663	-	Rv0093c	Rv0093c	CDS	NotExcluded	None	Probable conserved membrane protein	cell wall and cell processes	No	0.9993783536186363	97.7620730270907	0.0	67.60895170789163	1.0	1.0	1.0	849
NC_000962.3	103709	104663	-	Rv0094c	Rv0094c	CDS	InsertionSeqs_And_Phages	None	Conserved hypothetical protein	insertion seqs and phages	No	0.4262170976007454	4.1928721174004195	0.0	67.50524109014675	0.35668733385744233	0.3754085110062895	0.3841310870104823	954
NC_000962.3	104804	105215	-	Rv0095c	Rv0095c	CDS	InsertionSeqs_And_Phages	None	Conserved hypothetical protein	insertion seqs and phages	No	0.9245742092457421	49.148418491484186	0.0	61.557177615571774	0.6881588442822384	0.9732360097323601	1.0	411
NC_000962.3	105323	106715	+	Rv0096	PPE1	CDS	PE/PPEs	PPE_SL-2_PPE-PPW	PPE family protein PPE1	PE/PPE	No	0.9998004469987228	99.2816091954023	0.0	65.08620689655173	1.0	1.0	1.0	1392
NC_000962.3	106733	107603	+	Rv0097	Rv0097	CDS	NotExcluded	None	Possible oxidoreductase	intermediary metabolism and respiration	No	0.9985632183908046	94.82758620689656	0.0	58.85057471264368	1.0	1.0	1.0	870
NC_000962.3	107599	108151	+	Rv0098	fcoT	CDS	NotExcluded	None	Probable fatty acyl CoA thioesterase type III FcoT	lipid metabolism	No	0.99567230273752	84.42028985507247	0.0	59.05797101449275	1.0	1.0	1.0	552
NC_000962.3	108155	109778	+	Rv0099	fadD10	CDS	NotExcluded	None	Possible fatty-acid-CoA ligase FadD10 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	lipid metabolism	No	0.999435202300267	97.96672828096118	0.0	62.66173752310536	1.0	1.0	1.0	1623
NC_000962.3	109782	110019	+	Rv0100	Rv0100	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	60.33755274261603	1.0	1.0	1.0	237
NC_000962.3	110000	117539	+	Rv0101	nrp	CDS	NotExcluded	None	Probable peptide synthetase Nrp (peptide synthase)	lipid metabolism	No	1.0	100.0	0.0	65.11473670248043	1.0	1.0	1.0	7539
NC_000962.3	117713	119699	+	Rv0102	Rv0102	CDS	NotExcluded	None	Probable conserved integral membrane protein	cell wall and cell processes	No	0.9997342508671814	99.04330312185297	0.0	65.05538771399799	1.0	1.0	1.0	1986
NC_000962.3	119914	122173	-	Rv0103c	ctpB	CDS	NotExcluded	None	Probable cation-transporter P-type ATPase B CtpB	cell wall and cell processes	No	1.0	100.0	0.0	66.09119079238602	1.0	1.0	1.0	2259
NC_000962.3	122316	123831	+	Rv0104	Rv0104	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	63.82838283828383	1.0	1.0	1.0	1515
NC_000962.3	123979	124264	-	Rv0105c	rpmB1	CDS	NotExcluded	None	50S ribosomal protein L28-1 RpmB1	information pathways	No	1.0	100.0	0.0	67.36842105263158	1.0	1.0	1.0	285
NC_000962.3	124373	125570	+	Rv0106	Rv0106	CDS	NotExcluded	None	Conserved hypothetical protein	conserved hypotheticals	No	0.9996054952195303	98.5797827903091	0.0	66.41604010025063	1.0	1.0	1.0	1197
NC_000962.3	125642	130541	-	Rv0107c	ctpI	CDS	NotExcluded	None	Probable cation-transporter ATPase I CtpI	cell wall and cell processes	No	0.9999036084461681	99.65299040620535	0.0	68.64666258420085	1.0	1.0	1.0	4899
NC_000962.3	130894	131104	-	Rv0108c	Rv0108c	CDS	NotExcluded	None	Hypothetical protein	conserved hypotheticals	No	1.0	100.0	0.0	60.95238095238095	1.0	1.0	1.0	210
NC_000962.3	131381	132872	+	Rv0109	PE_PGRS1	CDS	PE/PPEs	PE_V_PGRS	PE-PGRS family protein PE_PGRS1	PE/PPE	No	0.9466614501825769	38.36351441985244	0.0	72.56874580818243	0.9961994178403756	1.0	1.0	1491
NC_000962.3	133019	133769	+	Rv0110	Rv0110	CDS	NotExcluded	None	Probable conserved integral membrane protein	cell wall and cell processes	No	1.0	100.0	0.0	64.93333333333334	1.0	1.0	1.0	750
NC_000962.3	133949	136007	+	Rv0111	Rv0111	CDS	NotExcluded	None	Possible transmembrane acyltransferase	intermediary metabolism and respiration	No	1.0	100.0	0.0	65.69484936831876	1.0	1.0	1.0	2058
NC_000962.3	136288	137245	+	Rv0112	gca	CDS	NotExcluded	None	Possible GDP-mannose 4,6-dehydratase Gca (GDP-D-mannose dehydratase)	cell wall and cell processes	No	0.9973876698014629	90.59561128526646	0.0	55.90386624869384	1.0	1.0	1.0	957
NC_000962.3	137318	137909	+	Rv0113	gmhA	CDS	NotExcluded	None	Probable sedoheptulose-7-phosphate isomerase GmhA (phosphoheptose isomerase)	cell wall and cell processes	No	0.9971329197217522	89.67851099830794	0.0	57.868020304568525	1.0	1.0	1.0	591
NC_000962.3	137940	138513	+	Rv0114	gmhB	CDS	NotExcluded	None	Possible D-alpha,beta-D-heptose-1,7-biphosphate phosphatase GmhB (D-glycero-D-manno-heptose 7-phosphate kinase)	cell wall and cell processes	No	0.9997091332169867	98.95287958115183	0.0	61.60558464223386	1.0	1.0	1.0	573
